Match,Result,RiP%,RiP W%,RetWnr%,FH/BH,RDI,Slice%,1st: RiP%,RiP W%,RetWnr%,RDI,Slice%,2nd: RiP%,RiP W%,RetWnr%,RDI,Slice%
2025 US Open R64,L vs Osaka,68.8%,42.4%,12.5%,4/2,2.25,0.0%,65.5%,47.4%,6.9%,2.18,0.0%,82.4%,35.7%,23.5%,2.32,0.0%
2025 Montreal R64,L vs Rybakina,51.7%,40.0%,6.9%,1/3,-,0.0%,43.8%,35.7%,6.3%,-,0.0%,69.6%,43.8%,8.7%,-,0.0%
2025 Wimbledon R32,L vs Andreeva,73.5%,46.0%,4.4%,2/1,2.45,21.1%,72.1%,48.4%,2.3%,2.58,44.4%,86.4%,42.1%,9.1%,2.34,0.0%
2025 Wimbledon R64,W vs Mboko,74.7%,53.6%,6.7%,3/2,2.81,13.5%,77.8%,50.0%,7.4%,2.71,20.7%,77.8%,64.3%,5.6%,2.95,4.3%
2025 Roland Garros R16,L vs Keys,59.7%,47.5%,11.9%,6/2,2.65,6.4%,60.0%,40.7%,6.7%,2.52,12.0%,65.0%,61.5%,25.0%,2.79,0.0%
2025 Roland Garros R32,W vs Bouzas Maneiro,70.8%,62.7%,4.2%,3/0,2.57,16.7%,72.5%,70.3%,3.9%,2.58,29.4%,77.8%,42.9%,5.6%,2.55,0.0%
2025 BJK Cup Qualifiers RR,W vs Munk Mortensen,79.7%,52.7%,0.0%,0/0,2.43,6.3%,82.6%,47.4%,0.0%,2.47,10.5%,89.5%,64.7%,0.0%,2.37,0.0%
2025 Charleston R64,W vs Gadecki,75.4%,58.7%,3.3%,0/2,2.38,27.6%,77.8%,50.0%,2.8%,2.26,35.0%,81.8%,72.2%,4.5%,2.64,11.1%
2025 Miami R64,W vs Kasatkina,66.7%,46.7%,7.8%,4/3,2.31,16.0%,75.0%,43.1%,4.4%,2.13,30.0%,56.3%,66.7%,25.0%,2.48,2.4%
2024 Miami R128,L vs Wang,67.7%,31.8%,4.6%,2/1,2.43,0.0%,65.8%,24.0%,0.0%,2.25,0.0%,76.0%,42.1%,12.0%,2.56,0.0%
2019 Washington R32,W vs Keys,73.2%,55.0%,11.0%,6/3,2.74,13.3%,70.6%,58.3%,7.8%,2.55,23.1%,82.8%,50.0%,17.2%,2.98,0.0%
Last 52 Weeks (8 matches),,69.7%,51.5%,6.0%,61.3%,2.53,11.3%,70.2%,50.4%,4.5%,2.49,19.3%,78.6%,53.6%,10.1%,2.59,1.5%
Career (11 matches),,69.5%,49.7%,6.6%,62.0%,2.51,11.5%,70.6%,48.3%,4.5%,2.42,20.3%,77.3%,52.5%,12.2%,2.61,1.4%
