Event,Yrs,Surface,M,W,L,Win%,TB,W,L,TB%,First,Last,Best,MS,DR,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,BPSvd%,BPCnv%
Australian Open,6,Hard,15,9,6,60.0%,7,3,4,42.9%,2020,2026,R32,15,1.03,6.4%,5.9%,54.5%,67.6%,50.4%,59.7%,41.3%,62.7%,44.6%
Roland Garros,4,Clay,18,13,5,72.2%,2,1,1,50.0%,2021,2025,R16,18,1.14,6.3%,4.8%,60.7%,69.9%,45.5%,60.3%,45.3%,62.0%,45.5%
Wimbledon,2,Grass,5,3,2,60.0%,3,2,1,66.7%,2024,2025,R32,5,1.01,6.4%,4.8%,54.3%,68.6%,50.0%,60.1%,40.2%,57.6%,40.5%
US Open,7,Hard,11,4,7,36.4%,0,0,0,-,2019,2025,R64,11,0.93,6.2%,9.2%,54.7%,67.5%,39.7%,54.9%,41.9%,45.7%,47.1%
Miami,6,Hard,14,8,6,57.1%,6,2,4,33.3%,2021,2026,QF,14,1.04,6.5%,3.9%,56.6%,70.1%,48.8%,60.8%,40.8%,64.2%,51.6%
Indian Wells,5,Hard,12,7,5,58.3%,5,3,2,60.0%,2021,2026,R64,12,1.10,5.2%,6.3%,52.8%,68.9%,49.7%,59.8%,44.4%,51.7%,39.2%
Abu Dhabi,2,Hard,5,3,2,60.0%,2,1,1,50.0%,2025,2026,SF,5,0.96,4.6%,5.0%,60.0%,64.0%,47.9%,57.6%,40.8%,47.5%,45.2%
Brisbane,2,Hard,4,2,2,50.0%,0,0,0,-,2024,2026,R64,4,1.11,5.8%,3.3%,57.3%,70.3%,48.5%,61.0%,43.3%,57.7%,40.6%
Tokyo,2,Hard,4,2,2,50.0%,1,0,1,0.0%,2024,2025,R32,4,1.13,5.7%,2.0%,59.9%,69.6%,64.6%,67.6%,36.5%,68.8%,47.4%
Wuhan,2,Hard,7,5,2,71.4%,2,1,1,50.0%,2024,2025,R16,7,1.02,5.0%,4.0%,58.8%,71.0%,45.1%,60.3%,40.4%,69.9%,45.3%
