Match,Result,Unret%,<=3 W%,RiP W%,SvImpact,1st: Unret%,<=3 W%,RiP W%,SvImpact,D Wide%,A Wide%,BP Wide%,2nd: Unret%,<=3 W%,RiP W%,2ndAgg
1992 Wimbledon R64,L vs Mcenroe,26.6%,54.5%,57.4%,36.4%,35.7%,61.9%,57.4%,52.4%,58.3%,37.5%,-,14.5%,47.3%,57.4%,24
1991 Australian Open R32,L vs Edberg,24.1%,33.0%,40.0%,32.1%,32.4%,41.9%,40.0%,44.5%,39.3%,28.3%,33.3%,10.7%,21.4%,40.0%,-8
1988 Australian Open F,L vs Wilander,24.7%,37.1%,49.6%,34.4%,29.2%,48.1%,54.7%,45.5%,55.1%,52.6%,72.7%,20.6%,23.8%,42.0%,80
1988 Australian Open SF,W vs Lendl,37.9%,49.0%,41.8%,44.8%,48.3%,64.0%,54.3%,60.2%,52.2%,55.8%,87.5%,25.0%,30.0%,28.9%,16
1987 Wimbledon F,W vs Lendl,49.4%,60.5%,66.7%,61.4%,50.0%,59.3%,66.7%,68.0%,50.0%,57.1%,-,52.0%,68.0%,66.7%,33
1987 Wimbledon SF,W vs Connors,35.2%,59.2%,68.2%,43.1%,50.0%,61.1%,77.8%,65.6%,61.1%,27.8%,0.0%,21.2%,60.6%,61.5%,7
1987 Australian Open F,L vs Edberg,26.9%,37.7%,49.1%,35.3%,35.8%,47.4%,55.7%,50.4%,46.7%,46.0%,44.4%,18.3%,30.0%,40.8%,50
1987 Australian Open SF,W vs Lendl,19.4%,30.2%,50.0%,26.0%,35.6%,54.2%,60.5%,51.0%,40.0%,55.2%,50.0%,18.8%,31.3%,34.6%,51
1984 US Open SF,L vs Lendl,36.2%,48.5%,48.5%,42.2%,47.8%,58.7%,54.2%,58.5%,38.5%,66.0%,75.0%,22.7%,37.9%,43.1%,28
1984 Wimbledon SF,L vs Mcenroe,29.6%,45.4%,38.0%,39.5%,37.3%,56.7%,50.0%,53.3%,62.1%,60.5%,75.0%,19.4%,30.6%,20.7%,1
Career (10 matches),,30.0%,44.1%,49.5%,38.4%,39.3%,54.8%,55.1%,53.8%,50.0%,49.5%,61.7%,21.4%,36.2%,42.2%,67
