Year,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR,Best
2026,10,4,6,40.0%,12-11,52.2%,112-103,52.1%,1-2,33.3%,9,56.2%,47.1%,2.0%,9.5%,65.5%,58.3%,39.6%,51.8%,48.6%,50.2%,1.01,R16 (2x)
2025,41,19,22,46.3%,48-49,49.5%,461-433,51.6%,1-4,20.0%,41,59.5%,44.5%,2.4%,7.7%,67.3%,59.7%,42.1%,54.0%,47.3%,50.5%,1.03,QF (Adelaide)
2024,63,40,23,63.5%,85-63,57.4%,715-650,52.4%,7-6,53.8%,63,61.8%,43.4%,2.3%,7.0%,66.5%,61.0%,42.2%,54.7%,47.0%,50.8%,1.04,W (2x)
2023,64,39,25,60.9%,85-60,58.6%,702-633,52.6%,7-8,46.7%,64,60.1%,45.6%,1.4%,5.0%,75.3%,59.2%,39.2%,54.3%,48.2%,51.3%,1.05,F (2x)
2022,63,41,22,65.1%,84-58,59.2%,694-580,54.5%,4-8,33.3%,61,62.7%,47.8%,2.1%,5.6%,68.3%,61.9%,40.9%,55.3%,48.7%,52.0%,1.09,W (2x)
2021,57,38,19,66.7%,79-55,59.0%,659-555,54.3%,4-2,66.7%,57,62.4%,43.8%,2.8%,4.8%,64.8%,63.3%,42.2%,55.9%,47.5%,51.6%,1.08,W (2x)
2020,20,8,12,40.0%,20-26,43.5%,204-213,48.9%,0-1,0.0%,20,54.9%,43.7%,1.4%,6.3%,69.8%,57.9%,38.4%,52.0%,47.1%,49.5%,0.98,SF (Lyon)
2019,34,13,21,38.2%,32-46,41.0%,328-396,45.3%,4-3,57.1%,34,51.8%,38.9%,1.4%,8.8%,65.4%,57.2%,39.3%,51.1%,45.4%,48.2%,0.93,QF (2x)
2018,66,42,24,63.6%,91-62,59.5%,760-671,53.1%,10-6,62.5%,65,60.2%,46.0%,2.0%,6.8%,68.5%,60.0%,42.4%,54.4%,48.2%,51.2%,1.06,W (Moscow)
2017,53,32,21,60.4%,69-51,57.5%,594-529,52.9%,6-8,42.9%,53,61.9%,44.2%,1.9%,4.0%,68.2%,59.0%,46.6%,55.0%,47.1%,51.1%,1.05,W (Charleston)
2016,55,33,22,60.0%,78-55,58.6%,655-578,53.1%,4-3,57.1%,55,64.4%,42.4%,2.8%,4.3%,63.0%,61.4%,47.8%,56.4%,46.6%,51.4%,1.07,SF (St. Petersburg)
2015,12,7,5,58.3%,16-14,53.3%,141-133,51.5%,0-1,0.0%,6,67.1%,33.3%,2.0%,2.2%,69.6%,60.4%,53.6%,58.4%,41.4%,49.9%,0.99,SF (Moscow)
2014,1,0,1,0.0%,0-2,0.0%,3-12,20.0%,0-0,-,1,-,-,2.2%,6.7%,53.3%,37.5%,38.1%,37.8%,44.7%,42.3%,0.72,R32 (Moscow)
Career,539,316,223,58.6%,699-552,55.9%,6028-5486,52.4%,48-52,48.0%,529,60.7%,44.2%,2.1%,5.9%,67.8%,60.3%,42.6%,54.6%,47.4%,50.9%,1.04,
