Split,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR
Hard,349,199,150,57.0%,438-370,54.2%,3814-3635,51.2%,32-35,47.8%,339,59.9%,42.4%,2.2%,6.1%,67.3%,60.1%,42.1%,54.2%,46.8%,50.5%,1.02
Clay,131,80,51,61.1%,178-123,59.1%,1502-1254,54.5%,13-12,52.0%,131,61.2%,48.4%,1.5%,4.7%,70.5%,59.3%,44.0%,54.8%,48.9%,51.8%,1.08
Grass,59,37,22,62.7%,83-59,58.5%,712-597,54.4%,3-5,37.5%,59,64.2%,45.3%,2.7%,6.9%,64.7%,63.2%,43.1%,56.1%,47.4%,51.8%,1.08
Grand Slams,102,62,40,60.8%,135-96,58.4%,1130-976,53.7%,4-12,25.0%,100,62.3%,46.9%,2.4%,6.7%,67.9%,61.5%,41.4%,55.1%,48.0%,51.5%,1.07
Premiers,266,156,110,58.6%,342-278,55.2%,2985-2774,51.8%,30-27,52.6%,262,60.3%,43.4%,2.0%,5.6%,67.7%,59.7%,43.1%,54.3%,47.2%,50.7%,1.03
Internationals,64,40,24,62.5%,89-63,58.6%,758-619,55.0%,3-7,30.0%,62,63.3%,46.6%,2.5%,5.6%,66.1%,62.6%,44.7%,56.5%,48.1%,52.2%,1.11
Finals,19,8,11,42.1%,17-26,39.5%,173-209,45.3%,2-2,50.0%,19,58.8%,32.5%,2.2%,5.8%,69.2%,60.3%,42.7%,54.9%,42.2%,48.5%,0.94
Semi-finals,28,17,11,60.7%,37-30,55.2%,315-293,51.8%,3-1,75.0%,26,61.9%,43.8%,1.9%,4.4%,71.1%,58.2%,47.6%,55.1%,47.4%,51.2%,1.06
Quarter-finals,54,27,27,50.0%,58-63,47.9%,544-567,49.0%,6-6,50.0%,52,56.5%,40.3%,2.2%,6.0%,67.4%,59.3%,40.6%,53.2%,45.6%,49.3%,0.97
vs Righties,495,288,207,58.2%,638-508,55.7%,5529-5032,52.4%,40-48,45.5%,485,60.5%,44.5%,2.1%,5.9%,67.5%,60.1%,42.7%,54.4%,47.4%,50.9%,1.04
vs Lefties,43,27,16,62.8%,59-44,57.3%,487-450,52.0%,8-4,66.7%,43,63.5%,40.3%,2.1%,5.7%,71.0%,61.9%,41.7%,56.0%,46.5%,51.2%,1.06
vs Top 10,74,24,50,32.4%,60-109,35.5%,703-880,44.4%,6-8,42.9%,73,54.5%,34.7%,1.8%,5.4%,67.1%,56.5%,42.4%,51.9%,43.1%,47.5%,0.90
