Match,Result,Avg Speed,1st Avg,1st StDev,1st T Avg,1st Wide Avg,Max 1st,Min 1st,2nd Avg,2nd StDev,2nd T Avg,2nd Wide Avg,Max 2nd,Min 2nd
2024 US Open R64,L vs Stearns,87.6,91.9,8.7,,,109,73,78.3,6.9,,,92,68
2024 US Open R128,W vs Cristian,87.6,93.0,9.7,,,109,68,77.3,7.1,,,90,63
2024 Wimbledon R32,L vs Badosa,89.9,94.4,7.5,97.8,88.7,111,77,80.1,6.3,84.9,86.3,94,70
2024 Wimbledon R64,W vs Miyazaki,92.7,99.3,6.9,101.0,96.0,112,86,81.8,8.1,88.5,81.5,93,68
2023 US Open R16,L vs Sabalenka,87.8,91.5,10.1,98.3,93.5,110,71,73.8,6.7,63.0,71.4,87,63
2023 US Open R32,W vs Minnen,76.7,78.0,8.2,79.3,79.7,100,61,68.1,5.2,64.0,69.0,80,64
2023 US Open R64,W vs Kenin,78.1,79.8,8.1,84.4,76.8,99,63,70.1,5.6,76.0,74.5,82,61
2023 US Open R128,W vs Parks,80.5,83.0,5.8,85.6,81.3,93,65,71.4,6.2,71.5,77.7,87,62
2023 Wimbledon R32,L vs Azarenka,83.2,86.2,8.0,93.0,81.0,105,68,66.0,4.0,,,73,62
2023 Wimbledon R64,W vs Burrage,83.6,85.7,8.7,89.4,80.8,103,65,69.0,6.4,75.5,,76,61
2023 Wimbledon R128,W vs Dolehide,75.8,77.0,8.3,84.3,79.0,92,61,65.8,3.3,67.0,,71,61
2022 US Open R128,L vs Dart,76.5,78.9,9.7,81.6,78.3,106,62,69.5,5.3,66.0,73.5,79,61
2021 US Open R32,L vs Svitolina,85.4,94.7,7.8,98.4,89.9,111,80,68.1,5.5,71.0,78.0,88,61
2021 US Open R64,W vs Vondrousova,85.0,91.3,10.3,93.1,89.1,113,71,67.4,3.7,61.0,65.0,74,61
2021 US Open R128,W vs Pironkova,80.2,87.2,8.0,87.8,87.4,109,78,65.7,2.5,64.0,66.0,72,63
2021 Wimbledon R64,L vs Ostapenko,86.0,93.7,8.0,96.9,94.5,106,73,71.4,6.0,61.0,74.0,86,61
2019 US Open R128,L vs Konta,86.9,89.2,8.4,,,107,69,80.6,6.8,,,95,70
2019 Roland Garros R64,L vs Puig,86.4,89.8,8.7,,,107,71,79.2,7.3,,,90,68
2019 Roland Garros R128,W vs Paolini,82.9,87.1,9.9,,,107,70,70.5,5.5,,,82,65
2018 US Open R64,L vs Sasnovich,80.8,82.1,9.6,97.2,82.6,104,62,74.9,8.4,,66.0,88,63
Career (36 matches),,85.7,89.6,8.1,93.1,88.0,114,61,75.3,6.1,77.9,76.5,101,61
