Split,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR
Hard,77,23,54,29.9%,54-117,31.6%,652-895,42.1%,4-4,50.0%,49,68.5%,27.4%,2.7%,7.5%,60.3%,61.0%,43.5%,54.0%,41.0%,47.5%,0.89
Clay,38,15,23,39.5%,34-50,40.5%,335-423,44.2%,8-2,80.0%,19,-,-,2.6%,7.0%,56.6%,56.7%,40.0%,49.5%,45.5%,47.5%,0.90
Grass,2,0,2,0.0%,0-4,0.0%,9-24,27.3%,0-0,-,2,-,-,5.4%,6.2%,50.8%,68.2%,32.8%,50.8%,28.7%,41.5%,0.58
Grand Slams,14,3,11,21.4%,9-23,28.1%,113-177,39.0%,1-0,100.0%,10,-,-,2.9%,7.3%,56.0%,64.5%,43.4%,55.2%,38.9%,47.4%,0.87
Premiers,34,9,25,26.5%,22-55,28.6%,290-420,40.8%,4-1,80.0%,25,66.7%,26.3%,2.6%,7.0%,60.4%,58.3%,42.0%,51.9%,40.7%,46.3%,0.85
Internationals,64,23,41,35.9%,51-89,36.4%,548-699,43.9%,5-5,50.0%,35,69.2%,27.8%,2.8%,7.6%,58.7%,59.8%,41.5%,52.3%,44.2%,48.2%,0.93
Semi-finals,1,0,1,0.0%,0-2,0.0%,1-12,7.7%,0-0,-,0,,,,,,,,,,,
Quarter-finals,7,1,6,14.3%,3-12,20.0%,55-84,39.6%,0-1,0.0%,3,-,-,2.6%,6.8%,56.2%,50.8%,30.1%,41.7%,49.6%,45.7%,0.85
vs Righties,107,34,73,31.8%,79-158,33.3%,906-1229,42.4%,10-6,62.5%,64,65.5%,24.1%,2.8%,7.0%,59.4%,59.6%,42.4%,52.6%,41.9%,47.2%,0.88
vs Lefties,8,3,5,37.5%,9-11,45.0%,84-100,45.7%,2-0,100.0%,5,80.0%,40.0%,2.2%,10.1%,54.6%,63.4%,39.3%,52.5%,44.7%,48.9%,0.94
vs Top 10,4,0,4,0.0%,0-8,0.0%,17-48,26.2%,0-0,-,2,44.4%,12.5%,3.9%,10.8%,60.8%,56.5%,45.0%,52.0%,27.1%,40.6%,0.56
