Event,Yrs,Surface,M,W,L,Win%,TB,W,L,TB%,First,Last,Best,MS,DR,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,BPSvd%,BPCnv%
Australian Open,9,Hard,20,11,9,55.0%,4,1,3,25.0%,2006,2016,R32,14,0.93,1.2%,7.2%,61.3%,62.3%,44.7%,55.5%,41.3%,56.7%,47.0%
Roland Garros,10,Clay,19,9,10,47.4%,5,2,3,40.0%,2006,2016,R64,7,0.97,1.5%,7.1%,63.1%,56.7%,46.2%,52.8%,45.7%,47.7%,45.9%
Wimbledon,10,Grass,13,3,10,23.1%,2,1,1,50.0%,2005,2016,R128,2,0.58,5.4%,6.2%,50.8%,68.2%,32.8%,50.8%,28.7%,57.1%,50.0%
US Open,11,Hard,21,10,11,47.6%,5,2,3,40.0%,2005,2016,R128,9,0.99,2.3%,6.0%,64.3%,59.5%,44.5%,54.1%,45.6%,50.0%,49.3%
Fed Cup,4,,5,3,2,60.0%,2,2,0,100.0%,2005,2014,,0,,,,,,,,,,
Moscow,12,Hard,24,12,12,50.0%,3,1,2,33.3%,2005,2017,R32,12,1.07,2.0%,7.9%,62.2%,64.4%,41.4%,55.7%,47.3%,50.0%,46.5%
Stanford,6,Hard,16,10,6,62.5%,4,2,2,50.0%,2006,2016,R16,9,1.04,2.8%,7.2%,63.0%,62.2%,43.6%,55.3%,46.7%,60.3%,52.1%
Tokyo,5,Hard,13,7,6,53.8%,2,1,1,50.0%,2007,2016,R32,3,0.86,6.7%,6.7%,61.1%,67.7%,44.4%,58.7%,35.8%,66.7%,33.3%
Montreal,6,Hard,9,2,7,22.2%,1,0,1,0.0%,2006,2016,R64,6,0.84,2.4%,7.3%,58.2%,58.8%,45.2%,53.1%,39.3%,42.2%,48.6%
Indian Wells,5,Hard,9,4,5,44.4%,4,3,1,75.0%,2007,2015,R64,5,0.92,0.7%,4.4%,67.2%,55.3%,50.0%,53.5%,42.6%,45.8%,48.7%
Charleston,5,Clay,6,1,5,16.7%,1,1,0,100.0%,2006,2014,R64,5,0.83,1.4%,6.2%,64.9%,54.1%,38.4%,48.6%,42.9%,46.2%,43.2%
