Year,WTA Rank,Points,Elo Rank,Elo,hElo Rank,hElo,cElo Rank,cElo,gElo Rank,gElo,Doubles: WTA Rank,Points,D-Lo Rank,D-Lo
2015,680,29,,,,,,,,,,,,
2014,353,95,,,,,,,,,,,,
2013,216,289,204,1453,211,1391,177,1450,177,1386,,,,
2012,240,236,206,1413,210,1355,198,1366,179,1379,1185,5,,
2011,180,359,192,1465,191,1417,181,1436,,,401,139,,
2010,374,114,,,,,,,,,344,169,,
2009,384,94,,,,,,,,,,,,
2008,331,71,,,,,,,,,,,,
2007,753,12,,,,,,,,,,,,
2006,484,32,,,,,,,,,,,,
2005,558,25,,,,,,,,,,,,
2004,399,48,,,,,,,,,,,,
2003,238,108,,,,,,,,,,,,
2002,451,30,,,,,,,,,,,,
2001,314,58,,,,,,,,,,,,
2000,172,150,167,1516,159,1460,148,1503,158,1404,,,,
1999,180,128,,,,,,,,,,,,
1998,289,60,,,,,,,,,,,,
1997,250,71,,,,,,,,,,,,
1996,270,57,,,,,,,,,,,,
1995,577,,,,,,,,,,,,,
