Match,Result,BLR,DR+,EI,CBF,Deuce A%,Deuce SPW%,Ad A%,Ad SPW%,Deuce RPW%,Ad RPW%
2016 Pelham AL $25K R32,L vs Kudryavtseva,0.96,0.39,34.9,2.0,0.0%,52.2%,0.0%,30.0%,20.0%,27.8%
2015 Florence SC $25K R32,L vs Thompson,0.87,0.52,46.0,2.3,0.0%,62.5%,0.0%,45.5%,30.4%,23.8%
2015 Albuquerque NM $75K R32,L vs Vickery,0.95,0.55,38.6,2.0,3.7%,51.9%,0.0%,37.5%,33.3%,30.4%
2015 Sumter SC $25K R32,L vs Weinhold,1.07,0.59,41.3,2.8,4.0%,48.0%,4.2%,29.2%,31.8%,35.0%
2014 El Paso TX 25K R32,L vs Halbauer,1.01,0.85,63.7,2.7,2.7%,40.5%,0.0%,41.7%,51.4%,47.1%
2014 Indian Harbour Beach FL 50K R32,L vs Townsend,1.07,0.69,46.4,2.0,2.8%,44.4%,0.0%,59.4%,25.0%,37.9%
2013 Madrid 25K R16,L vs Sorribes Tormo,0.90,0.72,53.4,2.3,0.0%,62.2%,0.0%,48.5%,33.3%,37.9%
2013 Madrid 25K R32,W vs Sanesi,1.02,1.48,56.8,2.7,20.0%,62.9%,12.9%,83.9%,42.9%,35.9%
2013 New Braunfels TX 50K R16,L vs Chirico,0.99,0.64,43.6,2.0,0.0%,36.0%,4.2%,50.0%,39.4%,34.4%
2013 Florence SC 25K R16,L vs Makarova,1.06,0.87,71.5,2.7,0.0%,47.2%,0.0%,40.4%,54.0%,37.8%
2013 Rock Hill SC 25K R32,L vs Elie,0.96,0.63,46.1,2.1,0.0%,46.2%,0.0%,37.5%,46.4%,29.6%
2013 Quebec City Q2,L vs Karatantcheva,0.89,0.68,48.6,2.3,6.1%,60.6%,7.1%,46.4%,29.0%,41.4%
2013 Quebec City Q1,W vs Muhammed,1.04,1.41,64.1,2.2,2.7%,81.1%,15.2%,57.6%,44.2%,36.6%
2013 Carlsbad Q2,L vs Vandeweghe,0.89,0.48,41.9,2.2,9.1%,63.6%,3.4%,51.7%,22.2%,22.7%
2013 Carlsbad Q1,W vs Fink,1.09,1.29,56.3,2.4,9.1%,70.5%,5.0%,55.0%,42.4%,44.6%
2013 Stanford Q2,L vs Puchkova,0.77,0.44,31.0,2.1,0.0%,41.7%,4.5%,50.0%,20.8%,42.9%
2013 Stanford Q1,W vs Hardebeck,1.06,1.32,58.1,4.5,5.4%,67.6%,2.9%,55.9%,40.5%,54.3%
2013 Yakima WA 50K R32,L vs Simmonds,1.05,0.57,40.5,2.1,0.0%,45.5%,0.0%,41.9%,32.0%,29.2%
2013 Sacramento CA 50K QF,L vs Brengle,0.90,0.64,45.5,2.3,3.6%,53.6%,3.7%,40.7%,35.7%,39.1%
2013 Sacramento CA 50K R16,W vs Kiick,1.43,3.86,28.3,2.2,0.0%,76.2%,6.7%,80.0%,52.4%,68.4%
2016 (1 matches),,0.96,0.39,34.9,2.0,0.0%,52.2%,0.0%,30.0%,20.0%,27.8%
2015 (3 matches),,0.96,0.55,41.8,2.3,2.6%,53.9%,1.4%,37.1%,31.9%,29.7%
2014 (2 matches),,1.04,0.79,55.6,2.3,2.7%,42.5%,0.0%,50.0%,39.1%,42.9%
2013 (22 matches),,1.03,1.04,51.1,2.4,5.0%,58.9%,5.3%,55.6%,41.6%,44.5%
2012 (4 matches),,0.98,0.87,65.1,3.8,8.3%,56.0%,7.4%,55.4%,40.3%,38.1%
Career (33 matches),,1.01,0.93,52.3,2.5,4.7%,57.0%,4.6%,52.9%,40.0%,42.4%
