Split,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR
Hard,120,48,72,40.0%,129-171,43.0%,1451-1556,48.3%,23-29,44.2%,120,77.8%,18.7%,5.5%,3.1%,63.9%,70.2%,49.9%,62.9%,35.4%,49.1%,0.95
Clay,53,20,33,37.7%,59-82,41.8%,644-700,47.9%,9-10,47.4%,53,73.8%,22.3%,4.0%,2.5%,65.7%,66.1%,48.3%,60.0%,37.3%,48.8%,0.93
Grass,35,16,19,45.7%,46-54,46.0%,501-514,49.4%,8-14,36.4%,35,80.8%,18.3%,5.8%,3.2%,66.4%,71.3%,50.1%,64.2%,35.2%,49.8%,0.98
Carpet,1,0,1,0.0%,1-2,33.3%,11-17,39.3%,0-0,-,1,57.1%,21.4%,7.1%,2.4%,67.9%,50.9%,63.0%,54.8%,37.9%,46.2%,0.84
Grand Slams,40,15,25,37.5%,57-86,39.9%,677-747,47.5%,10-13,43.5%,40,75.5%,19.9%,4.9%,2.8%,65.1%,68.0%,49.6%,61.6%,36.1%,49.0%,0.94
Masters,25,6,19,24.0%,23-41,35.9%,301-349,46.3%,5-9,35.7%,25,75.0%,18.4%,3.6%,2.4%,64.4%,69.5%,48.9%,62.1%,35.7%,48.8%,0.94
Other Tours,144,63,81,43.8%,155-182,46.0%,1629-1691,49.1%,25-31,44.6%,144,78.5%,19.6%,5.6%,3.2%,64.8%,69.7%,49.7%,62.7%,35.8%,49.3%,0.96
Best of 5,40,15,25,37.5%,57-86,39.9%,677-747,47.5%,10-13,43.5%,40,75.5%,19.9%,4.9%,2.8%,65.1%,68.0%,49.6%,61.6%,36.1%,49.0%,0.94
Best of 3,169,69,100,40.8%,178-223,44.4%,1930-2040,48.6%,30-40,42.9%,169,77.9%,19.4%,5.3%,3.0%,64.8%,69.7%,49.6%,62.6%,35.8%,49.2%,0.96
Finals,2,0,2,0.0%,0-4,0.0%,16-26,38.1%,0-1,0.0%,2,66.7%,10.0%,2.0%,2.0%,60.8%,65.6%,43.3%,56.9%,29.9%,44.6%,0.69
Semi-finals,4,2,2,50.0%,6-6,50.0%,54-57,48.6%,0-0,-,4,75.0%,21.8%,5.4%,3.4%,62.3%,66.1%,52.3%,60.9%,38.1%,49.4%,0.97
Quarter-finals,13,4,9,30.8%,10-19,34.5%,130-153,45.9%,2-4,33.3%,13,75.4%,16.2%,4.2%,3.4%,64.3%,67.0%,51.8%,61.5%,32.7%,48.0%,0.85
vs Righties,182,71,111,39.0%,201-275,42.2%,2256-2446,48.0%,33-47,41.3%,182,76.8%,19.4%,4.9%,3.0%,65.0%,68.9%,49.1%,62.0%,35.8%,49.0%,0.94
vs Lefties,26,13,13,50.0%,33-32,50.8%,337-325,50.9%,7-6,53.8%,26,80.1%,21.1%,6.8%,3.1%,63.5%,71.1%,52.6%,64.3%,36.4%,50.3%,1.02
vs Top 10,20,2,18,10.0%,10-39,20.4%,184-284,39.3%,3-1,75.0%,20,69.0%,9.8%,4.3%,2.5%,62.1%,66.7%,43.7%,58.0%,30.8%,45.0%,0.73
