Year,ATP Rank,Points,Elo Rank,Elo,hElo Rank,hElo,cElo Rank,cElo,gElo Rank,gElo,Doubles: ATP Rank,Points,D-Lo Rank,D-Lo
2024,,,,,,,,,,,22,3640,,
2020,,,,,,,,,,,22,4060,,
2019,,,,,,,,,,,16,3770,14,1859
2018,,,,,,,,,,,24,2780,13,1847
2017,,,,,,,,,,,26,2890,21,1826
2016,293,167,115,1659,111,1616,113,1611,73,1613,17,3780,10,1866
2015,123,475,78,1730,67,1700,88,1659,76,1619,17,4200,4,1925
2014,87,600,77,1735,74,1692,76,1678,62,1640,7,5050,6,1863
2013,52,908,51,1793,52,1740,54,1735,64,1640,17,3265,14,1831
2012,102,545,88,1713,76,1672,90,1660,71,1635,43,1746,54,1685
2011,106,548,71,1741,67,1690,64,1705,58,1645,133,603,,
2010,124,456,131,1626,119,1588,108,1611,111,1537,98,784,,
2009,153,327,135,1628,122,1591,204,1493,76,1599,170,389,,
2008,166,256,189,1552,157,1532,235,1449,90,1567,219,269,,
2007,97,438,160,1588,147,1534,150,1560,85,1571,293,185,,
2006,252,158,226,1491,231,1432,199,1486,,,291,186,,
2005,189,205,190,1550,197,1480,144,1556,,,191,278,,
2004,197,215,205,1529,179,1499,200,1485,187,1439,320,138,,
2003,300,110,239,1501,,,207,1482,,,324,134,,
2002,421,54,,,,,,,,,868,24,,
2001,1383,1,,,,,,,,,,,,
