Match,Result,RallyLen,RLen-Serve,RLen-Return,1-3 W%,4-6 W%,7-9 W%,10+ W%,FH/GS,BH Slice%,FHP,FHP/100,BHP,BHP/100
2026 Delray Beach R16,L vs Ruud,3.9,4.6,3.2,47.1%,45.0%,52.2%,86.7%,54.3%,9.2%,27.0,16.6,7.5,5.9
2026 Australian Open R128,L vs Tien,4.3,4.7,3.8,48.1%,47.7%,50.0%,48.6%,44.7%,15.8%,10.5,4.1,-8.0,-2.9
2025 Rome R32,L vs Hurkacz,4.0,4.4,3.6,47.3%,48.6%,27.3%,50.0%,53.4%,29.4%,7.5,7.4,-1.5,-2.2
2025 Madrid R64,L vs Berrettini,4.1,4.2,3.9,47.4%,36.0%,52.2%,60.0%,51.5%,26.4%,9.5,6.1,-3.5,-2.9
2025 Indian Wells R16,L vs Fils,3.9,4.4,3.4,51.6%,38.3%,50.0%,33.3%,44.2%,14.1%,13.0,12.5,-10.0,-7.9
2025 Indian Wells R64,W vs Ruud,4.4,5.1,3.7,50.0%,51.9%,57.7%,50.0%,50.4%,8.0%,25.5,14.5,-5.5,-3.3
2025 Australian Open R32,L vs Sinner,4.4,4.9,4.0,37.0%,40.0%,68.8%,44.4%,55.9%,23.1%,0.5,0.3,-5.5,-5.6
2024 Paris R32,L vs Humbert,3.4,3.5,3.4,41.0%,31.8%,44.4%,25.0%,48.8%,25.0%,-3.0,-6.5,-5.5,-11.5
2024 Vienna R16,L vs Zverev,3.9,5.1,2.4,43.1%,19.0%,50.0%,36.4%,56.6%,36.4%,1.0,1.4,1.5,3.8
2024 Tokyo R32,L vs Hurkacz,3.6,4.5,2.7,39.3%,60.0%,72.2%,41.7%,52.7%,15.7%,17.5,13.6,3.5,3.5
2024 US Open R128,L vs De Minaur,5.0,5.7,4.3,53.8%,43.3%,32.6%,45.9%,42.1%,9.9%,-5.0,-2.1,-6.5,-2.1
2024 Newport F,W vs Michelsen,3.9,3.7,4.0,53.8%,56.1%,38.1%,53.8%,45.6%,24.5%,28.5,19.5,3.0,2.2
2024 Newport SF,W vs Eubanks,3.1,3.1,3.1,55.9%,34.5%,45.5%,66.7%,50.8%,26.0%,-1.5,-1.6,1.0,1.5
2024 Halle QF,L vs Hurkacz,3.7,4.2,3.2,47.3%,44.1%,76.9%,33.3%,52.4%,18.2%,24.0,24.2,1.5,2.0
2024 Dallas F,L vs Paul,5.0,5.3,4.8,46.7%,32.7%,57.7%,72.0%,43.9%,14.2%,10.0,5.5,16.5,7.8
2024 Dallas SF,W vs Mannarino,5.8,4.8,6.5,56.5%,73.7%,40.0%,76.2%,51.6%,17.2%,12.5,10.7,6.0,6.1
2023 Paris R64,L vs Humbert,4.6,5.4,3.8,41.0%,45.8%,41.7%,35.7%,55.5%,33.3%,5.0,5.2,-4.0,-6.5
2023 Astana R16,L vs Thiem,3.7,3.8,3.6,53.8%,41.9%,41.2%,40.0%,49.1%,19.7%,7.5,5.9,3.5,3.4
2023 Halle R32,L vs Medvedev,3.9,4.7,3.3,45.3%,40.0%,54.5%,63.6%,45.9%,18.5%,14.0,20.6,3.5,4.9
2023 Stuttgart R32,L vs Lehecka,2.5,2.4,2.5,48.5%,37.9%,14.3%,75.0%,59.0%,24.6%,-1.0,-1.3,-3.5,-8.3
Career (36 matches),,4.3,4.7,4.0,47.7%,43.9%,51.5%,49.1%,50.7%,17.5%,7.7,5.8,-0.3,-0.3
