Match,Result,SnV Freq,SnV W%,Net Freq,Net W%,FH: Wnr%,DTL Wnr%,IO Wnr%,BH: Wnr%,DTL Wnr%,Drop: Freq,Wnr%,RallyAgg,ReturnAgg
2026 Delray Beach R16,L vs Ruud,0.0%,-,8.0%,62.5%,21.2%,22.6%,10.0%,9.5%,43.8%,0.3%,100.0%,20,-3
2026 Australian Open R128,L vs Tien,0.6%,0.0%,6.2%,76.2%,15.7%,25.0%,6.3%,5.5%,8.2%,0.2%,0.0%,-22,-10
2025 Rome R32,L vs Hurkacz,0.0%,-,9.0%,66.7%,16.3%,15.4%,12.5%,3.9%,12.5%,2.7%,0.0%,1,-14
2025 Madrid R64,L vs Berrettini,0.0%,-,7.9%,50.0%,14.4%,14.5%,0.0%,3.6%,23.1%,1.2%,50.0%,-38,-53
2025 Indian Wells R16,L vs Fils,0.0%,-,3.0%,80.0%,17.6%,20.0%,0.0%,4.3%,5.0%,0.7%,50.0%,-34,-68
2025 Indian Wells R64,W vs Ruud,0.0%,-,10.6%,82.6%,18.8%,0.0%,0.0%,1.7%,0.0%,0.5%,50.0%,-41,-64
2025 Australian Open R32,L vs Sinner,0.0%,-,5.5%,66.7%,8.6%,15.4%,60.0%,0.0%,0.0%,1.0%,0.0%,-95,-81
2024 Paris R32,L vs Humbert,0.0%,-,3.1%,33.3%,7.1%,22.2%,0.0%,0.0%,0.0%,0.0%,-,-131,-118
2024 Vienna R16,L vs Zverev,3.6%,100.0%,5.7%,83.3%,10.0%,23.5%,0.0%,9.4%,14.3%,2.6%,25.0%,-88,-117
2024 Tokyo R32,L vs Hurkacz,1.1%,100.0%,7.1%,84.6%,21.6%,20.0%,14.3%,14.9%,40.0%,1.2%,0.0%,51,23
2024 US Open R128,L vs De Minaur,2.2%,100.0%,7.9%,68.2%,9.0%,7.4%,0.0%,5.1%,26.1%,0.3%,100.0%,-48,-48
2024 Newport F,W vs Michelsen,0.0%,-,8.7%,80.0%,21.9%,17.4%,33.3%,14.1%,35.3%,1.9%,14.3%,-49,-22
2024 Newport SF,W vs Eubanks,0.0%,-,3.8%,83.3%,14.1%,11.4%,0.0%,10.5%,25.0%,0.5%,100.0%,27,57
2024 Halle QF,L vs Hurkacz,0.0%,-,3.4%,100.0%,27.2%,33.3%,0.0%,5.7%,12.5%,0.5%,0.0%,-70,-45
2024 Dallas F,L vs Paul,0.0%,-,8.3%,70.6%,14.7%,24.2%,9.5%,6.4%,0.0%,0.2%,100.0%,-81,-80
2024 Dallas SF,W vs Mannarino,0.0%,-,7.3%,71.4%,14.6%,22.2%,28.6%,7.7%,14.3%,0.8%,0.0%,-46,-65
2023 Paris R64,L vs Humbert,0.0%,-,5.4%,50.0%,13.3%,27.3%,20.0%,0.0%,0.0%,1.0%,100.0%,-75,-114
2023 Astana R16,L vs Thiem,2.2%,50.0%,12.0%,56.5%,18.6%,39.1%,10.0%,2.9%,10.0%,0.0%,-,-57,-33
2023 Halle R32,L vs Medvedev,20.0%,87.5%,14.3%,75.0%,17.0%,8.3%,33.3%,11.1%,16.7%,1.8%,0.0%,-35,-5
2023 Stuttgart R32,L vs Lehecka,12.3%,70.0%,8.8%,66.7%,21.2%,29.2%,0.0%,6.7%,11.1%,0.0%,-,32,82
Career (36 matches),,1.6%,77.8%,8.6%,67.0%,13.9%,17.2%,8.0%,5.4%,17.7%,0.8%,35.6%,-49,-49
