Split,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR
Hard,201,97,104,48.3%,244-257,48.7%,2472-2540,49.3%,46-53,46.5%,197,79.6%,19.4%,6.7%,2.2%,61.2%,71.8%,51.3%,63.8%,35.7%,49.7%,0.99
Clay,50,20,30,40.0%,60-79,43.2%,645-708,47.7%,13-13,50.0%,50,74.4%,21.4%,5.3%,1.8%,60.1%,68.5%,48.1%,60.4%,36.6%,48.7%,0.92
Grass,37,19,18,51.4%,53-52,50.5%,523-543,49.1%,11-9,55.0%,37,82.4%,15.6%,7.0%,2.2%,61.2%,74.0%,52.3%,65.5%,33.7%,49.5%,0.98
Grand Slams,42,15,27,35.7%,59-97,37.8%,695-821,45.8%,6-15,28.6%,42,73.7%,18.7%,6.0%,2.3%,62.1%,68.6%,47.6%,60.6%,35.1%,48.0%,0.89
Masters,71,30,41,42.3%,75-96,43.9%,821-899,47.7%,22-15,59.5%,71,78.8%,16.8%,5.7%,2.2%,58.4%,70.8%,50.2%,62.2%,34.7%,48.7%,0.92
Other Tours,174,90,84,51.7%,221-195,53.1%,2112-2067,50.5%,42-45,48.3%,171,81.2%,20.4%,7.0%,2.0%,61.6%,72.9%,52.3%,65.0%,36.2%,50.4%,1.03
Best of 5,42,15,27,35.7%,59-97,37.8%,695-821,45.8%,6-15,28.6%,42,73.7%,18.7%,6.0%,2.3%,62.1%,68.6%,47.6%,60.6%,35.1%,48.0%,0.89
Best of 3,246,121,125,49.2%,298-291,50.6%,2945-2970,49.8%,64-60,51.6%,242,80.5%,19.4%,6.6%,2.0%,60.7%,72.2%,51.6%,64.1%,35.7%,49.9%,1.00
Finals,3,1,2,33.3%,3-5,37.5%,43-45,48.9%,0-2,0.0%,3,86.0%,14.0%,6.4%,2.6%,65.7%,73.0%,51.6%,65.7%,33.8%,49.0%,0.98
Semi-finals,10,3,7,30.0%,10-15,40.0%,115-131,46.7%,2-3,40.0%,10,76.5%,18.0%,6.7%,2.2%,65.0%,71.0%,46.5%,62.4%,34.6%,48.9%,0.92
Quarter-finals,29,10,19,34.5%,28-40,41.2%,312-347,47.3%,3-9,25.0%,29,77.8%,18.6%,6.0%,1.9%,63.0%,72.0%,48.5%,63.3%,33.4%,48.4%,0.91
vs Righties,240,113,127,47.1%,293-322,47.6%,3021-3152,48.9%,57-65,46.7%,236,79.2%,19.2%,6.4%,2.2%,60.8%,71.6%,50.6%,63.3%,35.6%,49.5%,0.97
vs Lefties,47,22,25,46.8%,62-66,48.4%,606-629,49.1%,12-10,54.5%,47,78.3%,19.7%,6.7%,1.8%,61.8%,70.8%,51.4%,63.4%,35.6%,49.4%,0.97
vs Top 10,35,7,28,20.0%,22-65,25.3%,360-504,41.7%,7-9,43.8%,34,70.8%,13.0%,4.6%,2.8%,59.4%,68.6%,44.7%,58.9%,31.1%,45.4%,0.76
