Year,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR,Best
2007,2,0,2,0.0%,1-4,20.0%,11-30,26.8%,1-0,100.0%,2,-,-,1.4%,4.9%,55.6%,55.7%,33.3%,45.8%,38.8%,42.4%,0.72,R32 (Auckland)
2006,49,31,18,63.3%,70-42,62.5%,563-492,53.4%,10-5,66.7%,33,-,-,2.0%,4.7%,61.9%,59.2%,44.9%,53.8%,47.4%,50.7%,1.03,F (3x)
2005,56,36,20,64.3%,77-55,58.3%,675-572,54.1%,6-9,40.0%,15,-,-,2.8%,4.1%,56.4%,60.2%,46.7%,54.3%,49.0%,51.6%,1.07,W (Kolkata)
2004,73,55,18,75.3%,119-51,70.0%,904-647,58.3%,7-6,53.8%,15,-,-,2.7%,6.4%,53.0%,66.0%,47.5%,57.3%,49.6%,53.5%,1.16,W (3x)
2003,68,46,22,67.6%,95-60,61.3%,770-653,54.1%,8-1,88.9%,11,-,-,3.6%,4.5%,56.0%,62.1%,45.3%,54.7%,48.4%,51.8%,1.07,W (4x)
2002,75,47,28,62.7%,104-78,57.1%,919-814,53.0%,11-10,52.4%,0,,,,,,,,,,,,W (Bahia)
2001,24,11,13,45.8%,28-27,50.9%,255-256,49.9%,4-1,80.0%,0,,,,,,,,,,,,SF (Moscow)
2000,34,16,18,47.1%,41-43,48.8%,378-402,48.5%,3-1,75.0%,0,,,,,,,,,,,,SF (Sopot)
1999,16,10,6,62.5%,20-15,57.1%,171-147,53.8%,3-1,75.0%,0,,,,,,,,,,,,W (Palermo)
Career,397,252,145,63.5%,555-375,59.7%,4646-4013,53.7%,53-34,60.9%,76,-,-,2.5%,4.9%,58.0%,61.0%,45.6%,54.5%,48.1%,51.4%,1.06,
