Match,Result,Winners,UFEs,Ratio,Wnr/Pt,UFE/Pt,RallyWinners,RallyUFEs,RallyRatio,Rally Wnr/Pt,Rally UFE/Pt,FH Wnr/Pt,BH Wnr/Pt,vs Ratio,vs Wnr/Pt,vs UFE/Pt
2011 Vienna R32,L vs Thiem,12,17,0.7,11.1%,15.7%,8,13,0.6,8.7%,14.1%,4.3%,2.2%,1.5,23.1%,15.7%
1998 Indian Wells Masters SF,L vs Rusedski,5,11,0.5,4.6%,10.2%,4,10,0.4,4.3%,10.9%,3.3%,1.1%,2.5,25.9%,10.2%
1997 Cincinnati Masters F,L vs Sampras,8,13,0.6,7.5%,12.3%,7,11,0.6,7.6%,12.0%,4.3%,3.3%,2.4,31.1%,13.2%
1997 Roland Garros R32,L vs Kuerten,40,51,0.8,12.0%,15.3%,36,46,0.8,11.8%,15.1%,8.2%,3.3%,1.1,24.6%,23.1%
1997 Miami Masters F,W vs Bruguera,19,31,0.6,10.9%,17.7%,13,27,0.5,8.4%,17.5%,8.4%,0.0%,0.6,16.6%,26.9%
1997 Miami Masters SF,W vs Courier,17,13,1.3,21.0%,16.0%,14,11,1.3,20.3%,15.9%,11.6%,7.2%,0.9,22.2%,24.7%
1997 Miami Masters R32,W vs Haas,19,12,1.6,23.2%,14.6%,13,9,1.4,18.3%,12.7%,8.5%,8.5%,0.4,7.3%,20.7%
1997 Indian Wells Masters SF,L vs Chang,17,20,0.9,13.7%,16.1%,13,18,0.7,11.8%,16.4%,9.1%,0.0%,0.8,14.5%,19.4%
1997 Australian Open SF,L vs Sampras,27,21,1.3,14.6%,11.4%,24,18,1.3,15.2%,11.4%,10.8%,4.4%,1.9,29.2%,15.1%
1996 Vienna R16,L vs Edberg,49,21,2.3,23.8%,10.2%,39,20,2.0,21.4%,11.0%,9.9%,11.5%,1.7,22.8%,13.1%
1996 Cincinnati Masters SF,L vs Agassi,11,20,0.6,11.0%,20.0%,8,16,0.5,8.9%,17.8%,2.2%,6.7%,1.2,21.0%,18.0%
1996 Rome Masters F,W vs Krajicek,19,16,1.2,9.0%,7.6%,18,16,1.1,9.2%,8.2%,4.6%,4.6%,1.2,26.5%,21.3%
1996 Rome Masters SF,W vs Costa,19,31,0.6,11.2%,18.2%,16,29,0.6,9.9%,17.9%,6.2%,3.7%,0.6,14.7%,25.3%
1996 Monte Carlo Masters F,W vs Costa,35,45,0.8,11.9%,15.3%,34,42,0.8,12.2%,15.1%,7.6%,4.7%,0.8,20.4%,25.2%
1996 Monte Carlo Masters SF,W vs Pioline,10,13,0.8,8.9%,11.6%,8,11,0.7,7.6%,10.5%,6.7%,1.0%,0.5,17.9%,37.5%
1996 Barcelona F,W vs Rios,21,25,0.8,10.8%,12.9%,17,22,0.8,9.7%,12.5%,6.8%,2.8%,0.7,19.1%,27.3%
1995 Essen Masters F,W vs Washington,31,26,1.2,13.1%,11.0%,26,24,1.1,12.3%,11.3%,9.4%,2.8%,1.5,19.9%,13.1%
1995 Essen Masters SF,W vs Sampras,26,10,2.6,18.7%,7.2%,24,9,2.7,18.9%,7.1%,12.6%,6.3%,1.0,23.0%,22.3%
1995 Roland Garros F,W vs Chang,23,35,0.7,14.4%,21.9%,21,32,0.7,13.9%,21.2%,9.3%,4.6%,0.7,18.1%,25.6%
1995 Roland Garros SF,W vs Kafelnikov,25,13,1.9,17.1%,8.9%,22,13,1.7,16.4%,9.7%,11.2%,5.2%,0.8,18.5%,24.7%
Career (38 matches),,908,1056,0.9,13.2%,15.4%,789,963,0.8,12.6%,15.4%,8.1%,4.3%,1.0,20.0%,21.0%
