Match,Result,BLR,DR+,EI,CBF,Deuce A%,Deuce SPW%,Ad A%,Ad SPW%,Deuce RPW%,Ad RPW%
2011 Salzburg CH R32,L vs Bloemke,0.74,0.79,47.0,4.1,-,73.7%,-,61.1%,24.5%,45.5%
2011 Salzburg CH R32,L vs Bloemke,0.74,0.79,47.0,4.1,-,73.7%,-,61.1%,24.5%,45.5%
2011 Vienna R32,L vs Thiem,0.79,0.60,37.1,2.0,-,65.5%,-,35.7%,42.3%,32.0%
2011 Palermo CH R32,L vs Di Mauro,0.83,0.58,38.8,2.4,-,51.6%,-,55.2%,27.6%,38.5%
2011 Todi CH R32,W vs Mayer,1.24,1.32,51.1,104.8,-,63.0%,-,73.2%,33.3%,35.0%
2011 Manerbio CH R32,L vs Munoz De La Nava,0.83,0.41,31.1,2.2,-,46.2%,-,52.2%,20.8%,30.4%
2011 San Marino CH R32,L vs Balleret,0.90,0.82,67.1,10.4,-,48.9%,-,57.4%,41.1%,44.2%
2011 Kitzbuhel R32,L vs Kohlschreiber,0.89,0.52,30.2,2.1,-,41.4%,-,39.3%,32.1%,37.5%
1998 Indian Wells SF,L vs Rusedski,0.80,0.31,40.4,2.0,0.0%,58.1%,3.6%,67.9%,11.5%,17.4%
1997 Cincinnati F,L vs Sampras,0.98,0.53,39.6,2.0,0.0%,48.3%,4.0%,60.0%,22.2%,28.0%
1997 Roland Garros R32,L vs Kuerten,1.01,0.92,58.9,6.8,2.2%,51.6%,2.3%,62.1%,44.6%,33.8%
1997 Miami F,W vs Bruguera,1.05,1.71,34.0,2.8,11.4%,77.3%,2.6%,74.4%,36.2%,42.2%
1997 Miami R32,W vs Haas,1.12,2.36,32.5,2.0,18.2%,59.1%,10.0%,80.0%,57.1%,73.7%
1997 Indian Wells SF,L vs Chang,0.97,0.67,53.5,2.0,6.9%,48.3%,7.4%,59.3%,33.3%,31.3%
1997 Australian Open SF,L vs Sampras,0.86,0.59,25.4,2.0,2.0%,68.0%,4.5%,50.0%,27.1%,27.9%
1996 Vienna R16,L vs Edberg,0.90,0.85,68.6,2.8,7.3%,69.1%,13.3%,68.9%,26.8%,32.0%
1996 Cincinnati SF,L vs Agassi,1.08,0.52,37.4,2.1,6.3%,46.9%,3.6%,50.0%,28.6%,21.1%
1996 Rome F,W vs Krajicek,1.25,1.41,32.4,2.1,1.8%,66.1%,0.0%,68.0%,38.6%,36.0%
1996 Rome SF,W vs Costa,1.03,1.27,67.0,2.4,2.3%,61.4%,4.9%,75.6%,42.2%,35.7%
1996 Monte Carlo SF,W vs Pioline,1.02,1.61,46.8,3.0,0.0%,66.7%,7.1%,67.9%,46.4%,57.7%
2011 (8 matches),,0.88,0.73,46.4,3.3,0.0%,58.8%,0.0%,56.0%,31.0%,39.9%
1998 (1 matches),,0.80,0.31,40.4,2.0,0.0%,58.1%,3.6%,67.9%,11.5%,17.4%
1997 (6 matches),,0.99,0.93,43.6,2.4,5.3%,58.9%,4.1%,62.8%,37.0%,36.5%
1996 (5 matches),,1.06,1.10,51.7,2.4,3.7%,63.1%,5.7%,67.2%,36.2%,36.4%
1995 (7 matches),,1.10,1.36,46.8,3.3,3.0%,65.2%,3.6%,66.4%,40.2%,44.7%
Career (34 matches),,1.00,0.98,46.9,2.8,2.6%,60.3%,3.4%,63.1%,37.3%,38.4%
