Year,ATP Rank,Points,Elo Rank,Elo,hElo Rank,hElo,cElo Rank,cElo,gElo Rank,gElo,Doubles: ATP Rank,Points,D-Lo Rank,D-Lo
2011,1075,6,167,1587,85,1664,113,1608,113,1544,,,,
2010,980,7,,,,,,,,,1018,18,,
2005,,,,,,,,,,,1430,5,,
1999,189,224,65,1799,33,1821,21,1857,,,,,,
1998,25,1344,20,1945,17,1921,5,1972,32,1741,409,104,,
1997,9,2353,11,1993,5,1981,2,2045,22,1779,,,,
1996,5,3166,4,2099,9,1981,1,2174,12,1853,544,64,,
1995,3,,5,2127,8,2003,1,2176,,,519,64,,
1994,16,,18,1990,16,1931,8,2026,80,1629,418,96,,
1993,9,,7,2062,18,1949,6,2073,51,1687,339,130,,
1992,18,,32,1904,44,1800,19,1926,89,1626,327,104,,
1991,35,,24,1921,30,1834,14,1942,69,1653,320,108,,
1990,7,,11,1975,18,1884,5,1978,,,258,133,,
1989,21,,40,1850,46,1765,19,1876,,,282,,,
1988,16,,11,2035,24,1849,7,2059,,,98,,,
1987,56,,47,1825,47,1764,28,1838,73,1640,356,,,
1986,47,,32,1871,78,1683,15,1903,,,179,,,
1985,98,,63,1806,89,1663,37,1803,,,237,,,
1984,311,,,,,,,,,,430,,,
