Match,Result,Unret%,<=3 W%,RiP W%,SvImpact,1st: Unret%,<=3 W%,RiP W%,SvImpact,D Wide%,A Wide%,BP Wide%,2nd: Unret%,<=3 W%,RiP W%,2ndAgg
2011 Vienna R32,L vs Thiem,28.1%,35.1%,35.1%,31.8%,37.5%,45.0%,36.0%,42.7%,18.2%,66.7%,100.0%,7.7%,15.4%,33.3%,-53
1998 Indian Wells SF,L vs Rusedski,25.4%,35.6%,51.2%,29.2%,31.3%,37.5%,36.4%,38.1%,46.2%,63.2%,66.7%,19.2%,34.6%,66.7%,-23
1997 Cincinnati F,L vs Sampras,24.1%,29.6%,41.0%,26.1%,35.7%,39.3%,44.4%,39.6%,8.3%,75.0%,66.7%,12.5%,20.8%,38.1%,9
1997 Roland Garros R32,L vs Kuerten,17.4%,28.1%,48.6%,25.2%,23.1%,37.2%,51.6%,34.6%,19.3%,76.6%,68.8%,6.0%,10.0%,42.6%,-58
1997 Miami SF,W vs Courier,21.7%,26.7%,62.2%,26.3%,40.7%,48.1%,56.3%,51.1%,18.2%,43.8%,33.3%,8.7%,13.0%,66.7%,-30
1997 Miami R32,W vs Haas,47.6%,52.4%,47.4%,52.9%,52.2%,60.9%,63.6%,61.7%,20.0%,53.8%,-,50.0%,50.0%,25.0%,160
1997 Miami F,W vs Bruguera,36.1%,41.0%,67.3%,38.7%,52.2%,58.7%,68.2%,56.7%,9.5%,64.0%,100.0%,18.2%,21.2%,66.7%,60
1997 Indian Wells SF,L vs Chang,16.1%,25.0%,46.7%,22.7%,25.9%,44.4%,50.0%,39.6%,35.7%,69.2%,66.7%,7.4%,7.4%,44.0%,-42
1997 Australian Open SF,L vs Sampras,21.3%,30.9%,50.7%,23.9%,25.4%,33.9%,50.0%,29.7%,16.1%,64.3%,100.0%,15.6%,28.1%,51.9%,39
1996 Vienna R16,L vs Edberg,20.0%,38.0%,62.0%,26.7%,28.3%,46.7%,67.4%,39.5%,11.5%,64.7%,100.0%,7.7%,25.6%,55.6%,-41
1996 Cincinnati SF,L vs Agassi,18.3%,23.3%,40.0%,25.0%,21.9%,28.1%,48.0%,34.4%,20.0%,64.7%,75.0%,16.7%,20.8%,30.0%,39
1996 Rome F,W vs Krajicek,25.5%,33.0%,55.1%,30.7%,25.6%,31.4%,57.8%,32.0%,10.8%,61.2%,60.0%,26.3%,42.1%,42.9%,-79
1996 Rome SF,W vs Costa,16.5%,24.7%,63.8%,21.5%,20.8%,31.3%,65.8%,29.8%,12.5%,75.0%,75.0%,11.4%,17.1%,61.3%,1
1996 Monte Carlo F,W vs Costa,11.9%,22.5%,52.3%,19.9%,13.6%,27.3%,55.3%,27.3%,21.4%,84.8%,90.0%,10.3%,17.2%,48.1%,-10
1996 Monte Carlo SF,W vs Pioline,17.2%,20.7%,63.0%,20.0%,24.4%,29.3%,64.5%,28.3%,16.7%,91.3%,80.0%,0.0%,0.0%,60.0%,-118
1996 Barcelona F,W vs Rios,23.8%,29.5%,60.0%,28.5%,40.4%,50.0%,58.1%,49.8%,37.0%,44.0%,66.7%,10.5%,13.2%,61.8%,-11
1995 Essen F,W vs Washington,30.3%,38.5%,60.8%,36.9%,32.3%,41.9%,61.9%,43.9%,16.0%,62.2%,0.0%,28.9%,35.6%,59.4%,-15
1995 Essen SF,W vs Sampras,17.1%,35.7%,57.9%,26.7%,17.4%,41.3%,65.8%,32.0%,13.6%,66.7%,100.0%,17.4%,26.1%,42.1%,-16
1995 Roland Garros F,W vs Chang,16.1%,20.7%,60.6%,20.7%,20.0%,24.4%,58.3%,28.9%,16.7%,77.8%,100.0%,14.3%,20.0%,63.3%,27
1995 Roland Garros SF,W vs Kafelnikov,20.3%,36.5%,69.0%,29.7%,23.1%,38.5%,67.5%,36.5%,8.0%,37.0%,50.0%,14.3%,33.3%,72.2%,-79
Career (38 matches),,18.1%,25.7%,54.3%,23.5%,22.1%,30.8%,55.0%,30.4%,22.6%,66.9%,72.7%,12.8%,19.5%,52.8%,11
