Match,Result,Unret%,<=3 W%,RiP W%,SvImpact,1st: Unret%,<=3 W%,RiP W%,SvImpact,D Wide%,A Wide%,BP Wide%,2nd: Unret%,<=3 W%,RiP W%,2ndAgg
2024 Olympics R64,L vs Djokovic,7.0%,23.3%,36.1%,14.2%,3.8%,23.1%,40.0%,15.8%,23.1%,23.1%,33.3%,15.4%,30.8%,27.3%,11
2018 Shanghai QF,L vs Coric,28.4%,40.3%,44.2%,37.0%,35.0%,55.0%,46.2%,49.5%,47.1%,47.8%,0.0%,22.7%,22.7%,41.2%,86
2018 Halle QF,L vs Federer,30.9%,39.5%,46.2%,37.5%,37.5%,50.0%,50.0%,48.8%,43.5%,40.0%,0.0%,24.1%,27.6%,40.9%,105
2018 Surbiton CH SF,L vs De Minaur,22.5%,40.8%,51.9%,33.8%,28.6%,49.0%,51.4%,44.9%,60.9%,38.5%,33.3%,10.5%,26.3%,52.9%,-18
2017 Toyota SF,W vs Hurkacz,31.5%,46.7%,59.7%,42.8%,36.4%,51.5%,57.1%,52.1%,42.9%,45.2%,60.0%,20.0%,36.0%,65.0%,-21
2017 Canberra CH F,W vs Daniel,28.4%,50.7%,64.4%,43.3%,37.0%,67.4%,79.3%,58.7%,60.9%,21.7%,-,11.1%,16.7%,37.5%,-13
2017 Newport F,L vs Isner,38.7%,46.8%,51.5%,45.6%,47.5%,60.0%,47.6%,58.3%,35.0%,55.0%,-,29.4%,29.4%,58.3%,144
2017 Newport SF,W vs Gojowczyk,39.6%,45.3%,48.1%,44.7%,45.7%,54.3%,52.6%,53.4%,64.3%,42.9%,0.0%,38.5%,38.5%,37.5%,187
2015 Ilkley CH SF,W vs Dodig,32.7%,49.0%,60.0%,41.0%,37.5%,59.4%,60.0%,50.3%,54.5%,38.1%,-,28.6%,35.7%,60.0%,141
2014 Miami R128,W vs Kubot,33.0%,45.5%,60.8%,39.1%,44.6%,55.4%,61.3%,54.3%,62.5%,21.9%,0.0%,16.7%,37.5%,60.0%,19
2014 Sydney R32,L vs Benneteau,23.5%,33.3%,38.2%,28.6%,29.6%,44.4%,42.1%,39.3%,28.6%,61.5%,100.0%,21.1%,26.3%,33.3%,65
2014 Brisbane R16,L vs Nishikori,42.6%,51.1%,36.0%,47.2%,51.9%,59.3%,46.2%,60.0%,46.2%,57.1%,50.0%,33.3%,44.4%,25.0%,72
Career (12 matches),,30.2%,43.2%,51.0%,38.5%,37.0%,53.3%,53.9%,50.0%,48.3%,39.7%,34.6%,22.1%,30.7%,46.1%,84
