Match,Result,RallyLen,RLen-Serve,RLen-Return,1-3 W%,4-6 W%,7-9 W%,10+ W%,FH/GS,BH Slice%,FHP,FHP/100,BHP,BHP/100
2024 Olympics R64,L vs Djokovic,4.2,4.3,4.0,31.0%,17.6%,20.0%,44.4%,64.0%,24.4%,5.5,9.8,-5.0,-17.9
2018 Shanghai QF,L vs Coric,3.7,3.5,4.0,46.3%,42.1%,58.8%,25.0%,47.4%,27.2%,-0.5,-0.7,-4.5,-6.9
2018 Halle QF,L vs Federer,3.1,3.1,3.2,45.2%,31.0%,50.0%,80.0%,60.0%,15.4%,-5.0,-7.2,-1.0,-2.4
2018 Surbiton CH SF,L vs De Minaur,4.3,4.2,4.3,48.6%,52.4%,21.4%,50.0%,49.1%,35.7%,2.5,2.6,-4.0,-5.8
2017 Toyota SF,W vs Hurkacz,3.4,3.4,3.3,50.0%,63.8%,45.5%,66.7%,61.2%,36.3%,13.0,11.4,-3.5,-7.3
2017 Canberra CH F,W vs Daniel,4.7,3.6,5.7,52.6%,43.5%,61.5%,52.4%,61.0%,65.6%,0.5,0.4,-4.5,-14.1
2017 Newport F,L vs Isner,2.5,2.7,2.3,42.7%,40.7%,71.4%,-,46.2%,38.0%,8.0,23.5,1.0,3.6
2017 Newport SF,W vs Gojowczyk,2.9,2.5,3.3,51.9%,75.0%,40.0%,100.0%,57.4%,69.1%,5.5,9.5,-3.0,-18.8
2015 Ilkley CH SF,W vs Dodig,3.4,3.3,3.6,63.2%,56.0%,53.8%,100.0%,55.1%,50.9%,12.5,21.9,-2.0,-7.7
2014 Miami R128,W vs Kubot,3.1,3.1,3.1,49.2%,55.2%,58.3%,55.6%,64.7%,54.8%,5.5,4.3,-2.5,-7.8
2014 Sydney R32,L vs Benneteau,3.2,3.3,3.1,36.7%,33.3%,37.5%,66.7%,54.4%,30.8%,-0.5,-0.8,-6.0,-16.7
2014 Brisbane R16,L vs Nishikori,2.9,2.4,3.5,43.7%,31.3%,50.0%,50.0%,50.9%,38.5%,-1.0,-2.0,-5.0,-15.6
Career (12 matches),,3.5,3.3,3.6,47.3%,48.0%,48.4%,54.3%,56.5%,41.5%,3.8,5.0,-3.3,-8.8
