Match,Result,RiP%,RiP W%,RetWnr%,FH/BH,RDI,Slice%,1st: RiP%,RiP W%,RetWnr%,RDI,Slice%,2nd: RiP%,RiP W%,RetWnr%,RDI,Slice%
2024 Olympics R64,L vs Djokovic,66.7%,25.0%,16.7%,2/3,2.25,11.1%,61.1%,27.3%,16.7%,2.24,16.0%,75.0%,22.2%,16.7%,2.27,0.0%
2018 Shanghai QF,L vs Coric,67.8%,50.0%,8.5%,3/2,2.18,7.1%,59.0%,60.9%,10.3%,1.83,12.0%,85.0%,35.3%,5.0%,2.59,0.0%
2018 Halle QF,L vs Federer,56.9%,43.2%,13.8%,1/8,2.13,16.0%,47.2%,35.3%,8.3%,2.10,17.9%,69.0%,50.0%,20.7%,2.14,13.6%
2018 Surbiton CH SF,L vs De Minaur,75.4%,38.5%,7.2%,3/2,2.14,11.5%,76.5%,43.6%,5.9%,2.17,14.3%,86.7%,23.1%,13.3%,2.09,5.9%
2017 Toyota SF,W vs Hurkacz,62.1%,47.5%,5.3%,2/3,2.19,17.7%,62.3%,44.2%,5.8%,2.18,23.8%,84.2%,56.3%,5.3%,2.20,5.0%
2017 Canberra CH F,W vs Daniel,57.4%,41.0%,0.0%,0/0,1.97,6.7%,57.4%,37.0%,0.0%,1.88,10.3%,80.0%,50.0%,0.0%,2.13,0.0%
2017 Newport F,L vs Isner,47.5%,41.4%,3.3%,1/1,2.32,12.1%,31.7%,30.8%,2.4%,2.38,19.0%,80.0%,50.0%,5.0%,2.21,0.0%
2017 Newport SF,W vs Gojowczyk,70.0%,61.9%,3.3%,0/2,2.50,3.7%,60.0%,53.3%,4.0%,2.24,5.3%,87.1%,66.7%,3.2%,3.13,0.0%
2015 Ilkley CH SF,W vs Dodig,68.1%,62.5%,0.0%,0/0,2.15,6.7%,77.8%,57.1%,0.0%,2.20,10.0%,68.8%,72.7%,0.0%,2.05,0.0%
2014 Miami R128,W vs Kubot,54.8%,41.3%,6.0%,3/2,2.23,11.8%,48.9%,45.5%,4.4%,2.18,12.9%,80.0%,37.5%,10.0%,2.30,10.0%
2014 Sydney R32,L vs Benneteau,70.7%,31.0%,4.9%,0/2,2.03,2.9%,72.4%,28.6%,3.4%,2.03,5.3%,66.7%,37.5%,8.3%,2.03,0.0%
2014 Brisbane R16,L vs Nishikori,64.6%,32.3%,8.3%,1/3,-,8.0%,64.3%,27.8%,7.1%,-,15.4%,72.2%,38.5%,11.1%,-,0.0%
Career (12 matches),,62.7%,44.1%,6.1%,36.4%,2.18,10.5%,59.3%,42.2%,5.3%,2.13,14.3%,78.5%,46.8%,8.4%,2.26,3.9%
