Year,WTA Rank,Points,Elo Rank,Elo,hElo Rank,hElo,cElo Rank,cElo,gElo Rank,gElo,Doubles: WTA Rank,Points,D-Lo Rank,D-Lo
2016,400,88,,,,,,,,,,,,
2015,99,645,89,1719,86,1674,76,1658,53,1649,126,538,,
2014,40,1215,56,1782,57,1727,50,1715,42,1698,37,2055,,
2013,35,1535,44,1819,50,1754,38,1760,33,1701,76,1170,,
2012,28,1535,31,1855,53,1756,32,1780,30,1724,74,1170,,
2011,41,1285,48,1822,44,1766,47,1737,43,1679,52,1625,,
2010,41,1505,62,1792,73,1699,52,1732,48,1673,113,683,,
2009,90,682,89,1716,110,1614,71,1666,78,1600,,,,
2008,72,457,81,1728,97,1632,61,1692,86,1579,,,,
2007,63,455,81,1710,87,1637,60,1684,68,1604,,,,
2006,117,258,109,1669,114,1602,75,1635,81,1571,,,,
2005,35,883,44,1858,48,1777,38,1784,33,1709,,,,
2004,46,714,75,1755,85,1671,60,1710,82,1588,,,,
2003,63,560,100,1688,97,1633,76,1668,143,1467,,,,
2002,117,285,133,1608,178,1457,98,1619,147,1450,,,,
2001,139,227,168,1526,198,1366,120,1559,157,1436,,,,
2000,183,133,,,,,,,,,,,,
1999,483,21,,,,,,,,,,,,
1998,728,8,,,,,,,,,,,,
