Year,WTA Rank,Points,Elo Rank,Elo,hElo Rank,hElo,cElo Rank,cElo,gElo Rank,gElo,Doubles: WTA Rank,Points,D-Lo Rank,D-Lo
Current (2026-03-30),1140,13,,,,,,,,,,,,
2025,1142,13,,,,,,,,,,
2024,966,21,,,,,,,,,,
2023,928,22,,,,,,,,,,
2022,864,21,,,,,,,,,,
2021,609,66,,,,,,,,,,
2020,513,80,,,,,,,,,,
2019,500,75,,,,,,,,,,
2018,704,13,,,,,,,,,,
2017,535,52,,,,,,,,,,
2016,526,53,,,,,,,,,,
2015,462,64,,,,,,,,,,
2014,383,84,279,1131,276,1125,,,185,1201,,
2013,497,71,,,,,,,,,,
2012,633,37,,,,,,,,,,
2011,890,16,,,,,,,,,,
2010,1021,7,,,,,,,,,,
2009,1057,5,,,,,,,,,,
2008,781,13,,,,,,,,,,
2007,897,7,,,,,,,,,,
2006,1279,3,,,,,,,,,,
