Mtgs,Opponent,W,L,Win%,TB,W,L,TB%,First,Last,MS,DR,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,BPSvd%,BPCnv%
7,Konstantin Kravchuk [RUS],3,4,42.9%,4,2,2,50.0%,2008,2015,5,0.88,7.0%,2.6%,65.2%,72.4%,53.3%,65.8%,29.9%,50.0%,14.3%
7,Flavio Cipolla [ITA],3,4,42.9%,1,1,0,100.0%,2008,2014,5,0.89,2.7%,2.7%,59.4%,62.1%,48.7%,56.7%,38.8%,54.5%,48.3%
6,Khumoyun Sultanov [UZB],4,2,66.7%,3,1,2,33.3%,2020,2023,1,1.29,14.5%,4.3%,47.8%,84.8%,50.0%,66.7%,43.1%,100.0%,50.0%
6,Radu Albot [MDA],3,3,50.0%,4,1,3,25.0%,2009,2014,3,1.09,6.2%,2.3%,57.7%,76.0%,47.3%,63.8%,39.5%,61.9%,48.0%
5,Malek Jaziri [TUN],1,4,20.0%,1,1,0,100.0%,2014,2018,4,0.75,4.4%,4.1%,59.7%,62.6%,37.5%,52.5%,35.5%,44.7%,25.0%
5,Tobias Kamke [GER],4,1,80.0%,2,2,0,100.0%,2011,2017,4,1.23,4.0%,2.2%,59.4%,70.3%,55.8%,64.4%,43.9%,61.1%,45.5%
5,Martin Klizan [SVK],3,2,60.0%,1,0,1,0.0%,2008,2017,4,0.89,15.1%,5.9%,53.2%,80.7%,42.7%,62.9%,32.8%,77.3%,20.0%
5,Lukas Lacko [SVK],1,4,20.0%,0,0,0,-,2011,2016,5,0.85,8.9%,3.9%,63.2%,72.2%,45.5%,62.4%,32.0%,65.7%,38.1%
5,Andrey Kuznetsov [RUS],2,3,40.0%,2,0,2,0.0%,2012,2016,5,0.96,6.7%,4.9%,58.5%,70.0%,42.9%,58.8%,39.5%,57.9%,35.6%
5,Kenny De Schepper [FRA],1,4,20.0%,4,2,2,50.0%,2013,2015,5,0.86,4.1%,1.9%,65.8%,69.2%,52.1%,63.4%,31.6%,65.8%,16.7%
5,Gilles Muller [LUX],0,5,0.0%,2,1,1,50.0%,2008,2015,2,0.54,3.5%,3.5%,70.4%,65.4%,38.2%,57.4%,22.9%,30.0%,20.0%
5,Ruben Bemelmans [BEL],3,2,60.0%,2,1,1,50.0%,2007,2013,3,1.11,9.9%,2.6%,64.7%,73.3%,42.7%,62.5%,41.7%,66.7%,50.0%
5,Harel Levy [ISR],2,3,40.0%,0,0,0,-,2007,2009,0,,,,,,,,,,
4,Dimitar Kuzmanov [BUL],3,1,75.0%,1,1,0,100.0%,2012,2019,1,1.17,7.2%,0.7%,59.4%,69.5%,51.8%,62.3%,43.9%,58.3%,69.2%
4,Dzmitry Zhyrmont [BLR],4,0,100.0%,2,1,1,50.0%,2007,2017,1,1.40,6.3%,1.6%,65.6%,71.4%,68.2%,70.3%,41.7%,75.0%,50.0%
