Match,Result,Winners,UFEs,Ratio,Wnr/Pt,UFE/Pt,RallyWinners,RallyUFEs,RallyRatio,Rally Wnr/Pt,Rally UFE/Pt,FH Wnr/Pt,BH Wnr/Pt,vs Ratio,vs Wnr/Pt,vs UFE/Pt
2015 US Open R64,L vs Paire,23,38,0.6,10.2%,16.8%,17,35,0.5,8.3%,17.2%,5.4%,2.5%,1.5,18.6%,12.4%
2015 Wimbledon R64,L vs Anderson,31,21,1.5,12.3%,8.3%,25,17,1.5,12.6%,8.5%,8.0%,3.5%,2.3,23.4%,10.3%
2015 Wimbledon R128,W vs Janowicz,50,30,1.7,18.3%,11.0%,36,26,1.4,15.3%,11.1%,12.8%,2.1%,1.4,19.8%,14.7%
2015 Roland Garros R128,L vs Wawrinka,23,30,0.8,12.6%,16.5%,17,28,0.6,10.7%,17.6%,10.7%,0.0%,1.3,23.1%,17.6%
2015 Dubai QF,L vs Djokovic,4,26,0.2,4.8%,31.3%,1,25,0.0,1.4%,35.2%,0.0%,1.4%,1.2,15.7%,13.3%
2015 Australian Open R128,L vs Wawrinka,16,28,0.6,9.7%,17.0%,13,22,0.6,9.0%,15.2%,4.8%,3.4%,1.1,20.6%,18.2%
2014 Mouilleron Le Captif CH QF,W vs Coric,20,26,0.8,14.7%,19.1%,15,26,0.6,12.5%,21.7%,10.0%,1.7%,0.7,16.2%,24.3%
2014 Wimbledon R128,L vs Kudla,46,63,0.7,15.9%,21.7%,36,62,0.6,13.7%,23.6%,9.9%,2.7%,1.1,14.1%,12.8%
2011 US Open R64,L vs Verdasco,14,31,0.5,9.3%,20.7%,11,28,0.4,8.4%,21.4%,6.9%,1.5%,1.8,22.7%,12.7%
Career (9 matches),,227,293,0.8,12.9%,16.7%,171,269,0.6,11.2%,17.6%,8.4%,2.2%,1.3,19.4%,14.6%
