Split,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR
Clay,5,2,3,40.0%,4-5,44.4%,39-42,48.1%,0-1,0.0%,5,46.8%,50.0%,1.9%,6.2%,56.4%,56.4%,38.6%,48.6%,49.2%,48.9%,0.96
Internationals,2,1,1,50.0%,2-2,50.0%,19-15,55.9%,0-0,-,2,55.6%,56.3%,3.3%,4.1%,56.9%,58.6%,41.5%,51.2%,54.0%,52.5%,1.11
Finals,1,0,1,0.0%,0-2,0.0%,8-13,38.1%,0-0,-,1,60.0%,18.2%,1.6%,1.6%,55.6%,54.3%,57.1%,55.6%,35.7%,45.1%,0.80
Semi-finals,1,1,0,100.0%,2-0,100.0%,13-9,59.1%,1-0,100.0%,1,81.8%,30.0%,0.0%,1.4%,58.0%,75.0%,48.3%,63.8%,46.8%,54.8%,1.29
Quarter-finals,1,1,0,100.0%,2-1,66.7%,13-11,54.2%,0-0,-,1,50.0%,58.3%,0.0%,1.3%,55.3%,64.3%,32.4%,50.0%,52.8%,51.5%,1.06
vs Righties,6,3,3,50.0%,6-5,54.5%,53-51,51.0%,1-1,50.0%,6,58.6%,42.1%,1.9%,5.1%,55.7%,59.3%,45.8%,53.3%,47.4%,50.3%,1.01
vs Lefties,1,1,0,100.0%,2-0,100.0%,12-4,75.0%,0-0,-,1,87.5%,62.5%,0.0%,1.8%,57.1%,78.1%,45.8%,64.3%,54.0%,59.4%,1.51
