Year,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR,Best
2025,7,2,5,28.6%,6-12,33.3%,74-90,45.1%,0-1,0.0%,7,56.8%,34.1%,0.4%,5.6%,64.4%,60.5%,38.4%,52.6%,42.6%,47.6%,0.90,QF (W15 Gdansk)
2024,17,7,10,41.2%,19-22,46.3%,181-196,48.0%,3-0,100.0%,0,,,,,,,,,,,,QF (W35 Villach)
2023,15,8,7,53.3%,17-19,47.2%,156-168,48.1%,1-0,100.0%,6,64.6%,38.5%,2.2%,5.3%,61.2%,64.4%,44.8%,56.8%,43.3%,50.4%,1.00,F (Cali 125)
2022,48,35,13,72.9%,74-32,69.8%,555-408,57.6%,2-2,50.0%,9,62.4%,44.2%,1.1%,3.9%,67.5%,60.7%,46.0%,55.9%,46.9%,51.3%,1.06,W (W25 Tucuman)
2021,28,17,11,60.7%,39-26,60.0%,312-272,53.4%,3-2,60.0%,3,54.8%,43.3%,1.4%,3.6%,66.8%,56.5%,46.6%,53.2%,46.7%,50.0%,1.00,F (3x)
2020,15,6,9,40.0%,14-21,40.0%,162-167,49.2%,1-3,25.0%,1,46.7%,66.7%,2.9%,2.9%,71.2%,60.8%,30.0%,51.9%,51.7%,51.8%,1.08,QF (W25 Vero Beach FL)
2019,27,17,10,63.0%,39-24,61.9%,313-259,54.7%,3-3,50.0%,1,28.6%,12.5%,0.0%,2.3%,69.8%,46.7%,15.4%,37.2%,34.0%,35.6%,0.54,W (W25 St Poelten)
2018,31,22,9,71.0%,46-25,64.8%,385-297,56.5%,2-2,50.0%,0,,,,,,,,,,,,W (Baja $25K)
2017,24,13,11,54.2%,34-23,59.6%,274-241,53.2%,6-3,66.7%,0,,,,,,,,,,,,F (Antalya $15K)
2016,40,24,16,60.0%,50-37,57.5%,413-370,52.7%,7-1,87.5%,0,,,,,,,,,,,,W (3x)
2015,27,12,15,44.4%,29-34,46.0%,275-278,49.7%,0-2,0.0%,0,,,,,,,,,,,,W (Padova $25K)
2014,1,0,1,0.0%,0-2,0.0%,10-13,43.5%,0-1,0.0%,0,,,,,,,,,,,,R32 (Contrexeville 100K)
2013,16,13,3,81.3%,26-12,68.4%,195-151,56.4%,4-2,66.7%,0,,,,,,,,,,,,W (Saint Gaudens 50K)
2012,11,5,6,45.5%,13-13,50.0%,117-118,49.8%,0-1,0.0%,0,,,,,,,,,,,,QF (2x)
2011,42,32,10,76.2%,67-30,69.1%,512-373,57.9%,6-5,54.5%,0,,,,,,,,,,,,W (3x)
2010,32,26,6,81.3%,55-21,72.4%,417-269,60.8%,4-4,50.0%,0,,,,,,,,,,,,W (3x)
2009,35,26,9,74.3%,57-31,64.8%,461-348,57.0%,1-5,16.7%,0,,,,,,,,,,,,W (2x)
2008,17,8,9,47.1%,14-19,42.4%,141-143,49.6%,0-2,0.0%,0,,,,,,,,,,,,QF (3x)
2007,2,0,2,0.0%,0-4,0.0%,13-25,34.2%,0-0,-,0,,,,,,,,,,,,R32 (2x)
Career,435,273,162,62.8%,599-407,59.5%,4966-4186,54.3%,43-39,52.4%,27,58.8%,40.2%,1.3%,4.6%,65.3%,60.6%,42.2%,54.2%,44.9%,49.6%,0.98,
