Event,Yrs,Surface,M,W,L,Win%,TB,W,L,TB%,First,Last,Best,MS,DR,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,BPSvd%,BPCnv%
Australian Open,6,Hard,10,4,6,40.0%,0,0,0,-,2017,2024,Q2,8,0.93,2.2%,5.2%,63.7%,57.0%,43.7%,52.2%,44.6%,41.8%,40.3%
Roland Garros,6,Clay,14,8,6,57.1%,3,2,1,66.7%,2017,2024,R128,10,0.98,2.2%,2.9%,68.8%,57.3%,46.0%,53.8%,45.4%,51.1%,43.9%
Wimbledon,6,Grass,6,0,6,0.0%,0,0,0,-,2017,2024,Q1,4,0.76,1.6%,7.2%,59.4%,64.0%,43.4%,55.7%,33.6%,54.1%,31.0%
US Open,5,Hard,9,4,5,44.4%,2,0,2,0.0%,2017,2023,R64,8,0.99,2.2%,2.7%,66.2%,59.5%,47.3%,55.4%,44.4%,45.2%,38.4%
Fed Cup,4,,13,8,5,61.5%,4,3,1,75.0%,2014,2020,,10,1.01,0.5%,4.8%,69.2%,59.4%,41.3%,53.8%,46.6%,52.9%,55.6%
Lausanne,3,Clay,3,0,3,0.0%,1,0,1,0.0%,2019,2023,R32,3,0.93,1.6%,6.6%,62.3%,55.6%,36.1%,48.2%,48.3%,48.8%,60.0%
Seoul,2,Hard,3,1,2,33.3%,3,1,2,33.3%,2021,2022,R16,3,0.85,3.0%,1.9%,62.5%,58.8%,33.3%,49.2%,43.2%,48.6%,50.0%
Washington,3,Hard,5,2,3,40.0%,2,0,2,0.0%,2011,2022,R32,5,0.92,1.4%,8.7%,55.3%,64.2%,39.4%,53.1%,43.3%,45.2%,50.0%
Bogota,2,Clay,6,4,2,66.7%,2,2,0,100.0%,2018,2022,R16,6,1.05,1.3%,6.9%,69.7%,55.7%,49.1%,53.7%,48.5%,49.2%,39.8%
Moscow,4,Hard,12,6,6,50.0%,3,0,3,0.0%,2017,2021,R16,12,0.96,1.4%,4.7%,61.1%,58.9%,42.0%,52.3%,45.9%,49.6%,51.3%
