Year,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR,Best
2023,8,5,3,62.5%,9-6,60.0%,75-54,58.1%,0-1,0.0%,3,37.9%,35.7%,2.0%,2.5%,59.2%,46.2%,43.9%,45.3%,45.6%,45.5%,0.83,SF (United Cup)
2022,1,0,1,0.0%,0-2,0.0%,3-12,20.0%,0-0,-,1,28.6%,12.5%,0.0%,0.0%,69.6%,41.0%,52.9%,44.6%,36.5%,40.7%,0.66,R128 (Roland Garros)
2021,4,1,3,25.0%,3-6,33.3%,34-46,42.5%,0-0,-,4,43.6%,41.5%,1.6%,4.9%,70.0%,50.9%,41.9%,48.2%,45.7%,46.9%,0.88,R32 (Lausanne)
2020,3,2,1,66.7%,4-3,57.1%,33-36,47.8%,1-0,100.0%,3,55.9%,38.2%,1.8%,4.6%,63.0%,62.3%,43.2%,55.3%,44.1%,49.7%,0.99,
2019,4,1,3,25.0%,3-5,37.5%,33-44,42.9%,1-0,100.0%,4,61.9%,23.8%,0.0%,5.6%,66.2%,59.9%,42.7%,54.1%,40.7%,47.5%,0.89,
2018,10,3,7,30.0%,9-16,36.0%,100-128,43.9%,1-1,50.0%,10,45.6%,42.0%,0.3%,5.1%,73.7%,52.6%,38.3%,48.8%,48.1%,48.5%,0.94,R16 (2x)
2017,4,1,3,25.0%,4-6,40.0%,50-52,49.0%,0-2,0.0%,4,60.0%,40.0%,0.9%,5.1%,64.6%,60.8%,41.2%,53.9%,45.2%,49.5%,0.98,R16 (Zhengzhou)
2014,3,3,0,100.0%,6-0,100.0%,36-3,92.3%,0-0,-,0,,,,,,,,,,,,
Career,37,16,21,43.2%,38-44,46.3%,364-375,49.3%,3-4,42.9%,29,49.8%,37.5%,0.8%,4.7%,68.2%,54.7%,41.5%,50.5%,45.4%,47.9%,0.92,
