Match,Result,BP Games,BP Conv/BPG,BreakBack%,BPF Games,Hold/BPFG,Consol%,SvForSet,SvStaySet,SvForMatch,SvStayMatch
2025 Australian Open R64,L vs Fritz,0% (0/11),- (0/0),0/6,70% (7/10),0% (0/7),0/0,0/0,1/2,0/0,0/0
2024 Wimbledon R128,L vs Shang,13% (2/16),0% (0/2),0/3,38% (6/16),50% (3/6),0/0,0/0,2/2,0/0,1/1
2024 Australian Open R128,L vs Oconnell,44% (11/25),45% (5/11),0/6,32% (8/25),13% (1/8),2/5,2/2,2/3,0/0,1/1
2023 Shanghai R64,L vs Medvedev,33% (3/9),67% (2/3),2/4,56% (5/9),0% (0/5),2/2,0/0,1/2,0/0,1/1
2023 Indian Wells R32,W vs Ruud,55% (6/11),33% (2/6),0/1,27% (3/11),67% (2/3),2/2,1/1,2/2,0/0,0/0
2023 Indian Wells R64,W vs Nishioka,50% (4/8),100% (4/4),0/0,0% (0/8),- (0/0),2/2,0/0,0/0,0/0,0/0
2023 Australian Open R128,L vs Korda,24% (4/17),75% (3/4),0/5,41% (7/17),29% (2/7),3/3,1/1,2/2,0/0,1/1
2022 Vienna R32,L vs Sinner,0% (0/9),- (0/0),0/3,63% (5/8),40% (2/5),0/0,0/0,0/0,0/0,0/0
2022 Astana R32,L vs Djokovic,0% (0/7),- (0/0),0/4,86% (6/7),17% (1/6),0/0,0/0,0/1,0/0,0/0
2022 US Open R64,L vs De Minaur,12% (2/17),100% (2/2),0/7,63% (10/16),30% (3/10),1/1,0/0,1/1,0/0,1/1
2022 US Open R128,W vs Lehecka,47% (9/19),67% (6/9),0/4,33% (7/21),29% (2/7),4/5,1/1,3/4,1/1,0/0
2022 Wimbledon QF,L vs Kyrgios,31% (5/16),20% (1/5),0/2,27% (4/15),25% (1/4),1/1,0/0,1/2,0/0,0/0
2022 Wimbledon R32,W vs Brooksby,41% (7/17),86% (6/7),1/4,41% (7/17),43% (3/7),2/4,1/1,0/0,0/0,0/0
2022 Wimbledon R64,W vs Grenier,55% (6/11),100% (6/6),0/0,8% (1/12),100% (1/1),5/5,2/2,0/0,1/1,0/0
2022 Wimbledon R128,W vs Ymer,50% (8/16),75% (6/8),1/2,27% (4/15),50% (2/4),3/3,0/0,0/0,0/0,0/0
2022 Rome R64,W vs Passaro,89% (8/9),88% (7/8),2/3,38% (3/8),0% (0/3),3/5,0/0,0/0,0/0,0/0
2022 Madrid R64,W vs Tiafoe,63% (5/8),100% (5/5),0/1,13% (1/8),0% (0/1),4/4,1/2,0/0,1/2,0/0
2022 Belgrade  R32,L vs Rune,38% (3/8),67% (2/3),1/5,88% (7/8),14% (1/7),1/2,0/0,1/2,0/0,0/1
2021 US Open R64,L vs Laaksonen,27% (6/22),83% (5/6),0/5,35% (8/23),25% (2/8),3/4,1/1,0/0,0/0,0/0
2021 US Open R128,W vs Gombos,35% (7/20),71% (5/7),1/3,29% (6/21),33% (2/6),4/5,2/2,2/3,0/0,0/0
2025 (1 matches),,0.0%,-,0.0%,70.0%,0.0%,-,-,50.0%,-,-
2024 (2 matches),,31.7%,38.5%,0.0%,34.1%,28.6%,40.0%,100.0%,80.0%,-,100.0%
2023 (4 matches),,37.8%,64.7%,20.0%,33.3%,26.7%,100.0%,100.0%,83.3%,-,100.0%
2022 (11 matches),,38.7%,77.4%,14.3%,40.7%,29.1%,80.0%,83.3%,60.0%,75.0%,50.0%
2021 (14 matches),,34.6%,69.7%,13.0%,36.6%,37.2%,75.0%,72.2%,82.6%,60.0%,100.0%
Career (281 matches),,38.8%,71.1%,24.3%,37.4%,32.9%,74.9%,81.9%,75.5%,84.4%,76.6%
