Match,Result,BLR,DR+,EI,CBF,Deuce A%,Deuce SPW%,Ad A%,Ad SPW%,Deuce RPW%,Ad RPW%
2025 Australian Open R64,L vs Fritz,0.86,0.41,22.4,2.1,3.1%,46.9%,3.3%,40.0%,33.3%,18.5%
2024 Wimbledon R128,L vs Shang,0.90,0.59,30.6,2.3,20.4%,67.3%,9.3%,65.1%,22.0%,22.2%
2024 Australian Open R128,L vs Oconnell,0.92,0.86,54.4,7.5,9.1%,62.3%,8.5%,54.9%,40.4%,36.9%
2023 Shanghai R64,L vs Medvedev,0.89,0.62,40.1,2.7,6.5%,48.4%,6.7%,53.3%,33.3%,36.0%
2023 Indian Wells R32,W vs Ruud,1.15,1.34,53.2,2.3,7.5%,65.0%,5.3%,71.1%,35.7%,39.5%
2023 Indian Wells R64,W vs Nishioka,1.25,2.03,38.6,2.1,16.0%,84.0%,18.2%,59.1%,38.5%,52.2%
2023 Australian Open R128,L vs Korda,0.89,0.73,36.1,2.1,1.9%,64.8%,8.2%,55.1%,40.7%,23.5%
2022 Vienna R32,L vs Sinner,1.09,0.39,44.1,2.0,7.7%,57.7%,4.0%,52.0%,18.2%,14.3%
2022 Astana R32,L vs Djokovic,0.95,0.29,30.5,2.0,0.0%,43.5%,4.8%,42.9%,5.3%,31.3%
2022 US Open R64,L vs De Minaur,1.09,0.66,29.5,2.1,3.3%,55.0%,0.0%,50.9%,18.0%,40.5%
2022 US Open R128,W vs Lehecka,1.14,1.23,43.4,6.7,4.3%,60.9%,4.5%,67.2%,36.5%,41.8%
2022 Wimbledon QF,L vs Kyrgios,0.75,0.74,35.9,2.6,2.2%,62.2%,2.3%,65.1%,43.1%,28.6%
2022 Wimbledon R32,W vs Brooksby,1.24,1.36,34.8,2.2,6.7%,56.7%,0.0%,63.6%,47.2%,40.8%
2022 Wimbledon R64,W vs Grenier,1.21,2.37,21.7,2.0,8.1%,75.7%,6.5%,71.0%,38.9%,65.7%
2022 Wimbledon R128,W vs Ymer,0.95,1.57,33.7,2.3,4.4%,66.7%,5.4%,78.4%,60.0%,30.6%
2022 Rome R64,W vs Passaro,0.99,1.37,49.8,2.1,3.6%,53.6%,0.0%,61.5%,58.1%,60.7%
2022 Madrid R64,W vs Tiafoe,1.44,2.34,28.7,2.1,16.7%,75.0%,9.1%,59.1%,46.2%,60.9%
2022 Belgrade  R32,L vs Rune,0.83,0.61,36.9,2.6,0.0%,40.6%,0.0%,43.3%,42.3%,44.0%
2021 US Open R64,L vs Laaksonen,1.00,0.92,37.8,8.0,4.3%,68.1%,3.2%,50.8%,32.3%,41.7%
2021 US Open R128,W vs Gombos,0.97,1.25,50.4,3.2,3.2%,67.7%,7.1%,71.4%,41.5%,36.4%
2025 (1 matches),,0.86,0.41,22.4,2.1,3.1%,46.9%,3.3%,40.0%,33.3%,18.5%
2024 (2 matches),,0.91,0.78,45.7,3.5,13.5%,64.3%,8.8%,58.8%,33.8%,31.8%
2023 (4 matches),,1.02,0.98,42.0,2.3,6.7%,64.7%,8.6%,59.7%,37.5%,35.0%
2022 (11 matches),,1.06,1.07,35.5,2.3,4.9%,59.2%,2.9%,60.9%,39.9%,41.1%
2021 (14 matches),,1.05,1.04,51.3,3.8,6.9%,62.4%,5.6%,62.0%,38.3%,36.6%
Career (281 matches),,1.03,1.06,52.5,2.7,5.3%,60.8%,4.6%,61.1%,40.2%,39.5%
