Match,Result,Unret%,<=3 W%,RiP W%,1st: Unret%,<=3 W%,RiP W%,D Wide%,A Wide%,BP Wide%,2nd: Unret%,<=3 W%,RiP W%,D Wide%,A Wide%,BP Wide%,2ndAgg
2017 Quebec City SF,L vs Babos,30.1%,47.0%,61.5%,35.2%,57.4%,62.9%,33.3%,60.0%,66.7%,26.1%,34.8%,58.8%,11.1%,21.4%,0.0%,119
2017 US Open R32,W vs Nara,20.0%,40.0%,61.5%,25.0%,50.0%,70.8%,40.0%,58.8%,50.0%,11.8%,23.5%,46.7%,14.3%,40.0%,100.0%,-104
2017 Wimbledon R128,W vs Dodin,48.9%,60.0%,52.4%,56.7%,70.0%,69.2%,38.5%,41.2%,-,38.5%,46.2%,25.0%,0.0%,42.9%,-,57
2017 Birmingham R32,W vs Cibulkova,36.7%,48.6%,51.6%,44.4%,55.6%,52.5%,23.3%,35.7%,60.0%,25.0%,40.6%,50.0%,28.6%,50.0%,0.0%,59
2017 Nottingham QF,W vs Pironkova,23.1%,35.9%,39.0%,28.8%,46.2%,54.1%,42.9%,48.4%,28.6%,12.0%,16.0%,13.6%,6.3%,33.3%,0.0%,-57
2017 Charleston R32,W vs Mattek Sands,28.1%,40.6%,54.8%,40.5%,48.6%,54.5%,26.7%,36.4%,100.0%,13.0%,34.8%,55.0%,7.7%,70.0%,100.0%,9
2017 Miami QF,L vs Wozniacki,19.7%,40.8%,48.2%,28.6%,54.8%,53.3%,66.7%,41.7%,0.0%,10.3%,27.6%,42.3%,28.6%,20.0%,66.7%,-17
2017 Miami R16,W vs Cibulkova,27.3%,35.1%,45.8%,37.5%,45.8%,50.0%,27.3%,46.2%,57.1%,14.3%,23.8%,38.9%,0.0%,69.2%,100.0%,0
2017 Indian Wells R64,W vs Vandeweghe,35.6%,47.5%,52.5%,42.1%,59.6%,54.5%,52.2%,41.2%,42.9%,31.6%,36.8%,50.0%,4.8%,35.3%,50.0%,61
2016 US Open R64,L vs Halep,14.9%,24.3%,36.2%,20.0%,30.0%,40.6%,40.0%,30.0%,33.3%,10.3%,20.7%,30.8%,0.0%,56.3%,75.0%,-17
2016 Wimbledon R16,L vs Shvedova,23.2%,35.4%,46.6%,32.0%,46.0%,50.0%,41.7%,42.3%,75.0%,11.1%,22.2%,41.7%,16.7%,46.7%,33.3%,-11
2016 Prague F,W vs Stosur,37.0%,48.1%,53.1%,40.4%,54.4%,52.9%,24.0%,50.0%,100.0%,31.8%,36.4%,53.3%,30.0%,83.3%,100.0%,-3
2015 Singapore RR,L vs Muguruza,20.6%,33.0%,45.8%,22.4%,37.9%,46.7%,29.0%,25.9%,25.0%,20.6%,29.4%,44.4%,11.1%,40.0%,42.9%,51
2015 New Haven F,L vs Kvitova,29.4%,44.1%,47.0%,33.3%,54.4%,55.3%,41.7%,42.4%,66.7%,28.2%,35.9%,35.7%,0.0%,30.0%,0.0%,57
2015 New Haven SF,W vs Tsurenko,24.6%,35.4%,43.8%,28.9%,40.0%,46.9%,30.0%,40.0%,66.7%,15.8%,26.3%,37.5%,0.0%,8.3%,0.0%,-43
2015 New Haven R32,W vs Saville,18.3%,30.0%,56.8%,18.5%,40.7%,68.2%,30.0%,29.4%,-,21.4%,25.0%,45.5%,0.0%,42.9%,0.0%,79
2015 Cincinnati QF,L vs Svitolina,20.7%,36.6%,42.6%,34.0%,46.8%,41.9%,52.6%,53.6%,25.0%,3.2%,25.8%,43.3%,0.0%,18.2%,0.0%,-86
2015 Wimbledon R16,L vs Vandeweghe,26.6%,41.8%,56.4%,33.3%,51.1%,56.7%,29.4%,35.7%,0.0%,19.4%,32.3%,56.0%,7.7%,38.9%,100.0%,3
2015 Wimbledon R64,W vs Hsieh,45.2%,61.9%,66.7%,57.7%,69.2%,63.6%,63.6%,53.3%,-,28.6%,57.1%,70.0%,16.7%,50.0%,-,47
2015 Roland Garros F,L vs Williams,29.0%,33.3%,33.8%,28.4%,32.8%,39.6%,46.7%,29.7%,50.0%,32.0%,36.0%,17.6%,25.0%,53.8%,50.0%,-57
Career (38 matches),,27.6%,39.9%,49.3%,33.8%,48.3%,52.6%,33.8%,42.3%,45.0%,20.0%,30.2%,44.3%,6.9%,39.0%,36.8%,50
