Match,Result,Winners,UFEs,Ratio,Wnr/Pt,UFE/Pt,RallyWinners,RallyUFEs,RallyRatio,Rally Wnr/Pt,Rally UFE/Pt,FH Wnr/Pt,BH Wnr/Pt,vs Ratio,vs Wnr/Pt,vs UFE/Pt
2018 US Open R64,L vs Barty,25,30,0.8,19.8%,23.8%,23,28,0.8,20.9%,25.5%,11.8%,6.4%,1.3,14.3%,11.1%
2018 Wimbledon R32,L vs Makarova,30,20,1.5,17.8%,11.8%,24,17,1.4,16.1%,11.4%,10.7%,4.7%,2.4,20.1%,8.3%
2018 Wimbledon R64,W vs Radwanska,43,32,1.3,27.9%,20.8%,34,30,1.1,23.8%,21.0%,17.5%,5.6%,1.4,6.5%,4.5%
2018 Wimbledon R128,W vs Bondarenko,24,18,1.3,20.2%,15.1%,18,14,1.3,18.0%,14.0%,11.0%,4.0%,0.8,10.9%,14.3%
2017 Quebec City SF,L vs Babos,28,30,0.9,17.5%,18.8%,22,24,0.9,16.2%,17.6%,10.3%,5.9%,1.1,15.0%,13.8%
2017 US Open R16,L vs Vandeweghe,24,24,1.0,16.6%,16.6%,18,21,0.9,14.3%,16.7%,11.9%,1.6%,0.8,11.0%,13.1%
2017 US Open R32,W vs Nara,34,18,1.9,33.3%,17.6%,32,18,1.8,32.3%,18.2%,24.2%,8.1%,0.8,8.8%,11.8%
2017 US Open R64,W vs Hibino,38,29,1.3,23.8%,18.1%,28,27,1.0,19.7%,19.0%,12.7%,7.0%,1.0,12.5%,12.5%
2017 Wimbledon R64,L vs Rogers,35,24,1.5,18.1%,12.4%,27,16,1.7,16.6%,9.8%,8.6%,6.7%,1.7,16.1%,9.3%
2017 Wimbledon R128,W vs Dodin,22,5,4.4,25.3%,5.7%,14,3,4.7,19.7%,4.2%,15.5%,4.2%,0.7,11.5%,16.1%
2017 Birmingham R32,W vs Cibulkova,53,42,1.3,24.9%,19.7%,37,37,1.0,20.0%,20.0%,15.1%,3.2%,0.9,14.6%,15.5%
2017 Nottingham QF,W vs Pironkova,30,35,0.9,17.8%,20.7%,27,34,0.8,17.3%,21.8%,9.6%,7.7%,1.0,16.6%,17.2%
2017 Roland Garros R128,L vs Cepede Royg,9,25,0.4,9.0%,25.0%,8,20,0.4,8.7%,21.7%,3.3%,4.3%,1.1,13.0%,12.0%
2017 Charleston R32,W vs Mattek Sands,21,17,1.2,16.2%,13.1%,18,13,1.4,15.1%,10.9%,7.6%,6.7%,0.5,11.5%,21.5%
2017 Miami QF,L vs Wozniacki,36,43,0.8,23.2%,27.7%,31,38,0.8,22.3%,27.3%,12.2%,9.4%,1.1,9.7%,9.0%
2017 Miami R16,W vs Cibulkova,30,33,0.9,20.1%,22.1%,21,25,0.8,16.5%,19.7%,8.7%,6.3%,0.5,10.7%,22.1%
2017 Indian Wells R64,W vs Vandeweghe,37,31,1.2,21.8%,18.2%,28,25,1.1,19.0%,17.0%,14.3%,3.4%,0.9,11.8%,12.9%
2017 Australian Open R64,L vs Williams,24,16,1.5,18.0%,12.0%,16,13,1.2,15.8%,12.9%,11.9%,3.0%,1.5,26.3%,17.3%
2017 Australian Open R128,W vs Wickmayer,41,35,1.2,20.8%,17.8%,25,28,0.9,16.0%,17.9%,10.9%,3.2%,0.9,15.2%,17.3%
2016 US Open R64,L vs Halep,16,44,0.4,12.0%,33.1%,15,39,0.4,12.3%,32.0%,7.4%,4.9%,0.5,6.8%,15.0%
Career (87 matches),,2342,2418,1.0,17.9%,18.4%,1922,2096,0.9,16.5%,18.0%,9.9%,4.6%,0.8,13.0%,16.5%
