Match,Result,Avg Speed,1st Avg,1st StDev,1st T Avg,1st Wide Avg,Max 1st,Min 1st,2nd Avg,2nd StDev,2nd T Avg,2nd Wide Avg,Max 2nd,Min 2nd
2018 US Open R64,L vs Barty,86.1,91.5,9.9,95.7,86.0,106,74,77.9,3.8,77.0,76.5,89,68
2018 Wimbledon R32,L vs Makarova,85.9,90.2,6.7,90.2,88.9,101,72,79.6,3.9,77.0,81.0,87,72
2018 Wimbledon R64,W vs Radwanska,88.3,93.0,7.6,94.7,89.8,104,80,79.3,4.0,82.0,78.4,89,73
2017 US Open R16,L vs Vandeweghe,90.0,93.9,8.3,99.2,86.4,107,79,79.1,4.5,82.0,75.0,90,72
2017 US Open R32,W vs Nara,82.8,86.8,8.4,93.0,80.3,105,72,75.7,6.9,79.3,72.0,99,66
2017 US Open R64,W vs Hibino,86.9,91.0,8.3,96.7,84.4,106,74,78.2,3.8,79.4,79.0,86,69
2017 Wimbledon R128,W vs Dodin,90.3,94.8,6.9,97.2,89.7,106,80,78.9,3.2,78.6,77.0,84,73
2017 Roland Garros R128,L vs Cepede Royg,86.1,92.6,7.2,,,103,78,77.7,3.4,,,84,71
2017 Australian Open R64,L vs Williams,89.5,96.3,7.1,96.4,92.2,106,80,80.2,5.5,84.8,76.0,100,73
2017 Australian Open R128,W vs Wickmayer,92.5,97.8,7.2,100.3,93.1,108,79,80.6,3.8,82.4,75.0,87,72
2016 US Open R64,L vs Halep,88.5,95.9,8.4,97.3,90.4,107,80,78.2,3.6,78.4,76.0,85,69
2016 US Open R128,W vs Saville,87.7,94.1,8.2,,,106,78,77.7,3.7,,,83,71
2016 Wimbledon R16,L vs Shvedova,93.2,97.9,6.9,99.4,95.7,108,83,84.7,3.0,,83.7,90,77
2016 Wimbledon R32,W vs Cepelova,91.8,96.9,7.3,100.8,92.9,107,80,82.0,3.3,81.0,82.3,87,72
2016 Roland Garros R32,L vs Stosur,92.8,96.4,6.5,99.0,88.4,106,82,82.0,3.9,82.6,79.7,89,75
2016 Roland Garros R64,W vs Golubic,94.8,99.1,5.7,,,105,83,81.0,8.4,,,101,71
2016 Roland Garros R128,W vs Diatchenko,91.4,98.5,6.2,100.6,94.0,106,81,77.9,2.6,77.7,74.0,83,74
2015 US Open R128,L vs Tsurenko,83.9,87.2,8.8,,,106,73,79.2,2.9,,,86,73
2015 Wimbledon R16,L vs Vandeweghe,90.6,96.8,7.5,,,106,82,81.7,4.7,,,98,72
2015 Wimbledon R32,W vs Stephens,93.6,96.8,7.5,,,108,84,84.4,5.2,,,97,74
Career (53 matches),,89.7,95.0,8.0,97.6,89.4,110,67,79.5,3.9,80.4,78.4,101,64
