Split,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR
Hard,44,17,27,38.6%,46-64,41.8%,552-596,48.1%,15-10,60.0%,41,83.8%,12.3%,15.8%,6.6%,59.4%,77.0%,49.2%,65.7%,30.5%,48.6%,0.89
Clay,63,32,31,50.8%,87-85,50.6%,862-859,50.1%,15-12,55.6%,59,80.3%,19.8%,12.6%,5.3%,59.0%,73.9%,50.3%,64.2%,35.7%,50.2%,1.00
Grass,9,3,6,33.3%,10-15,40.0%,126-139,47.5%,3-3,50.0%,9,85.3%,11.4%,17.7%,8.7%,61.6%,78.8%,50.0%,67.7%,27.4%,48.2%,0.85
Carpet,14,8,6,57.1%,18-16,52.9%,180-179,50.1%,4-6,40.0%,12,89.2%,13.1%,23.4%,4.2%,60.5%,80.5%,54.1%,70.0%,30.8%,50.6%,1.03
Grand Slams,19,10,9,52.6%,35-37,48.6%,354-367,49.1%,7-3,70.0%,19,81.4%,17.2%,16.5%,7.0%,59.0%,77.8%,47.2%,65.2%,33.1%,49.5%,0.95
Masters,25,8,17,32.0%,23-39,37.1%,295-340,46.5%,6-6,50.0%,24,79.5%,14.8%,13.2%,7.0%,60.1%,73.6%,47.8%,63.3%,32.0%,48.2%,0.87
Other Tours,79,39,40,49.4%,91-89,50.6%,929-916,50.4%,21-19,52.5%,78,84.3%,15.9%,15.1%,5.2%,59.4%,76.1%,52.3%,66.4%,33.0%,50.0%,0.98
Best of 5,25,13,12,52.0%,47-50,48.5%,490-505,49.2%,10-6,62.5%,19,81.4%,17.2%,16.5%,7.0%,59.0%,77.8%,47.2%,65.2%,33.1%,49.5%,0.95
Best of 3,105,47,58,44.8%,114-130,46.7%,1230-1268,49.2%,27-25,51.9%,102,83.1%,15.6%,14.6%,5.6%,59.6%,75.4%,51.1%,65.6%,32.8%,49.6%,0.95
Finals,4,2,2,50.0%,4-7,36.4%,50-63,44.2%,1-0,100.0%,4,80.4%,7.1%,15.1%,3.2%,62.1%,73.2%,49.6%,64.2%,30.7%,48.1%,0.86
Semi-finals,6,4,2,66.7%,9-5,64.3%,76-74,50.7%,4-1,80.0%,6,85.1%,12.7%,16.5%,5.2%,57.7%,78.4%,49.2%,66.1%,33.9%,50.5%,1.00
Quarter-finals,11,6,5,54.5%,13-13,50.0%,138-145,48.8%,5-2,71.4%,11,85.5%,10.9%,14.6%,5.4%,57.7%,75.1%,53.1%,65.8%,31.0%,49.1%,0.91
vs Righties,119,56,63,47.1%,149-168,47.0%,1596-1649,49.2%,33-29,53.2%,111,82.3%,16.2%,15.0%,6.0%,59.4%,75.6%,50.0%,65.2%,32.9%,49.5%,0.95
vs Lefties,11,4,7,36.4%,12-12,50.0%,124-124,50.0%,4-2,66.7%,10,88.4%,13.3%,15.4%,5.4%,61.0%,80.8%,52.8%,69.9%,31.8%,50.7%,1.05
vs Top 10,12,5,7,41.7%,14-20,41.2%,165-192,46.2%,5-3,62.5%,9,80.7%,13.5%,14.1%,6.7%,55.2%,76.8%,48.9%,64.3%,31.4%,48.6%,0.88
