Year,ATP Rank,Points,Elo Rank,Elo,hElo Rank,hElo,cElo Rank,cElo,gElo Rank,gElo,Doubles: ATP Rank,Points,D-Lo Rank,D-Lo
2008,263,141,158,1605,,,124,1598,171,1456,1033,19,,
2007,678,25,,,,,,,,,490,88,,
2006,1540,2,,,,,,,,,,,,
2004,55,709,32,1837,65,1705,23,1842,76,1584,156,310,,
2003,19,1425,52,1797,72,1681,29,1821,95,1541,69,740,33,1674
2002,86,468,78,1750,68,1704,69,1718,,,139,357,,
2001,161,238,205,1523,196,1480,168,1527,,,958,16,,
2000,233,152,221,1503,228,1411,179,1507,,,1104,10,,
1999,253,152,,,,,,,,,641,48,,
1998,416,52,,,,,,,,,595,54,,
1997,384,75,,,,,,,,,487,83,,
1996,626,23,,,,,,,,,1205,3,,
