Year,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR,Best
2018,20,10,10,50.0%,22-21,51.2%,204-200,50.5%,3-2,60.0%,0,,,,,,,,,,,,W (Antalya $15K)
2017,21,11,10,52.4%,24-23,51.1%,215-207,50.9%,3-1,75.0%,0,,,,,,,,,,,,F (La Marsa $25K)
2016,15,8,7,53.3%,16-15,51.6%,150-136,52.4%,2-0,100.0%,0,,,,,,,,,,,,QF (3x)
2015,13,6,7,46.2%,15-15,50.0%,146-139,51.2%,2-4,33.3%,0,,,,,,,,,,,,SF (Dubai $75K)
2014,25,17,8,68.0%,38-23,62.3%,318-278,53.4%,7-4,63.6%,0,,,,,,,,,,,,F (2x)
2013,45,30,15,66.7%,62-42,59.6%,523-462,53.1%,5-6,45.5%,0,,,,,,,,,,,,W (2x)
2012,15,8,7,53.3%,18-16,52.9%,167-146,53.4%,1-2,33.3%,0,,,,,,,,,,,,SF (Osprey FL 50K)
2011,47,34,13,72.3%,75-35,68.2%,582-416,58.3%,6-4,60.0%,0,,,,,,,,,,,,W (2x)
2010,48,32,16,66.7%,72-39,64.9%,571-448,56.0%,3-6,33.3%,0,,,,,,,,,,,,W (StPetersburg 10K)
2009,29,15,14,51.7%,35-35,50.0%,337-319,51.4%,3-3,50.0%,0,,,,,,,,,,,,SF (La Coruna 25K)
2008,41,23,18,56.1%,49-42,53.8%,439-394,52.7%,4-3,57.1%,0,,,,,,,,,,,,F (2x)
2007,27,17,10,63.0%,36-21,63.2%,281-210,57.2%,1-1,50.0%,0,,,,,,,,,,,,SF (4x)
2006,22,15,7,68.2%,31-17,64.6%,244-177,58.0%,1-4,20.0%,0,,,,,,,,,,,,W (Thessaloniki 10K)
2005,15,9,6,60.0%,19-17,52.8%,176-158,52.7%,3-2,60.0%,0,,,,,,,,,,,,W (Kiev 10K)
2004,8,2,6,25.0%,4-13,23.5%,62-94,39.7%,0-1,0.0%,0,,,,,,,,,,,,R16 (2x)
2003,2,0,2,0.0%,0-4,0.0%,10-25,28.6%,0-0,-,0,,,,,,,,,,,,R32 (2x)
Career,393,237,156,60.3%,516-378,57.7%,4425-3809,53.7%,44-43,50.6%,0,,,,,,,,,,,,
