Year,WTA Rank,Points,Elo Rank,Elo,hElo Rank,hElo,cElo Rank,cElo,gElo Rank,gElo,Doubles: WTA Rank,Points,D-Lo Rank,D-Lo
Current (2021-03-22),,,,,,,,,,,93,1045,,
2020,,,,,,,,,,,88,1045,,
2019,,,,,,,,,,,60,1415,,
2018,,,,,,,,,,,22,2800,,
2017,,,,,,,,,,,35,2020,,
2016,,,,,,,,,,,27,2270,,
2015,,,,,,,,,,,14,3860,,
2014,,,,,,,,,,,10,4630,,
2013,,,,,,,,,,,6,7145,,
2012,,,,,,,,,,,16,3935,,
2011,,,,,,,,,,,2,8680,,
2010,317,150,,,,,,,,,6,6830,,
2009,428,80,,,,,,,,,,,,
2008,20,1272,19,1965,20,1895,20,1863,23,1744,,,,
2007,27,961,34,1885,34,1825,34,1783,35,1701,,,,
2006,23,819,27,1906,25,1849,29,1779,31,1712,,,,
2005,27,997,40,1863,35,1805,52,1734,46,1670,,,,
2004,87,408,112,1686,115,1610,84,1649,136,1488,,,,
2003,39,840,55,1802,53,1730,53,1737,92,1556,,,,
2002,36,944,59,1815,57,1737,43,1775,104,1538,,,,
2001,97,377,86,1708,95,1621,78,1675,141,1467,,,,
2000,120,272,143,1603,134,1528,108,1596,152,1430,,,,
1999,66,471,162,1508,164,1423,96,1608,151,1418,,,,
1998,250,77,,,,,,,,,,,,
1997,332,44,,,,,,,,,,,,
1996,530,14,,,,,,,,,,,,
1995,1046,,,,,,,,,,,,,
