Split,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR
Hard,59,21,38,35.6%,58-92,38.7%,652-780,45.5%,11-13,45.8%,59,70.4%,21.1%,5.1%,5.6%,52.1%,69.9%,47.1%,59.0%,37.6%,48.3%,0.92
Clay,42,13,29,31.0%,38-72,34.5%,441-563,43.9%,5-5,50.0%,42,65.5%,22.8%,3.9%,4.2%,53.7%,66.5%,45.2%,56.6%,37.9%,47.3%,0.88
Grass,12,4,8,33.3%,16-21,43.2%,179-202,47.0%,5-5,50.0%,12,74.7%,19.7%,6.1%,7.6%,55.6%,72.9%,47.6%,61.6%,35.4%,48.6%,0.92
Grand Slams,33,11,22,33.3%,45-71,38.8%,510-605,45.7%,11-8,57.9%,33,69.3%,22.3%,5.6%,5.3%,54.3%,69.4%,46.4%,58.9%,37.9%,48.2%,0.92
Masters,18,5,13,27.8%,14-27,34.1%,182-228,44.4%,3-5,37.5%,18,68.8%,20.0%,5.0%,5.2%,53.6%,69.6%,46.7%,59.0%,37.0%,48.0%,0.90
Other Tours,62,22,40,35.5%,53-87,37.9%,580-712,44.9%,7-10,41.2%,62,69.4%,21.3%,4.2%,5.5%,51.9%,68.7%,46.5%,58.0%,37.2%,47.7%,0.89
Best of 5,33,11,22,33.3%,45-71,38.8%,510-605,45.7%,11-8,57.9%,33,69.3%,22.3%,5.6%,5.3%,54.3%,69.4%,46.4%,58.9%,37.9%,48.2%,0.92
Best of 3,80,27,53,33.8%,67-114,37.0%,762-940,44.8%,10-15,40.0%,80,69.3%,21.0%,4.4%,5.4%,52.3%,68.9%,46.6%,58.3%,37.1%,47.8%,0.89
Finals,1,0,1,0.0%,0-2,0.0%,6-13,31.6%,0-0,-,1,66.7%,0.0%,4.5%,1.5%,50.7%,58.8%,51.5%,55.2%,23.1%,41.2%,0.52
Semi-finals,3,1,2,33.3%,2-4,33.3%,29-34,46.0%,0-1,0.0%,3,76.7%,18.8%,3.7%,4.6%,56.9%,66.9%,48.9%,59.2%,36.4%,48.0%,0.89
Quarter-finals,3,3,0,100.0%,6-2,75.0%,43-39,52.4%,2-0,100.0%,3,70.7%,30.8%,2.3%,5.2%,52.9%,65.9%,46.6%,56.8%,43.7%,51.0%,1.01
vs Righties,93,31,62,33.3%,93-157,37.2%,1073-1301,45.2%,17-21,44.7%,93,69.4%,21.6%,5.0%,5.4%,53.0%,69.0%,46.9%,58.6%,37.5%,48.0%,0.91
vs Lefties,20,7,13,35.0%,19-28,40.4%,199-244,44.9%,4-2,66.7%,20,68.7%,21.3%,4.2%,5.3%,53.8%,69.5%,44.4%,57.9%,36.9%,47.6%,0.88
vs Top 10,10,1,9,10.0%,4-23,14.8%,88-160,35.5%,1-1,50.0%,10,59.8%,11.3%,4.2%,5.9%,50.7%,66.6%,42.2%,54.6%,31.8%,43.3%,0.70
