Year,ATP Rank,Points,Elo Rank,Elo,hElo Rank,hElo,cElo Rank,cElo,gElo Rank,gElo,Doubles: ATP Rank,Points,D-Lo Rank,D-Lo
2021,971,13,,,,,,,,,,,,
2020,898,15,,,,,,,,,976,25,,
2019,708,26,356,1379,335,1356,297,1387,,,754,40,,
2018,195,262,246,1483,238,1438,203,1481,140,1505,195,329,,
2017,218,237,171,1574,158,1543,132,1565,133,1516,376,145,,
2016,54,854,104,1684,112,1615,82,1676,80,1603,160,470,94,1588
2015,208,239,140,1610,132,1575,130,1579,106,1572,558,101,,
2014,134,407,123,1650,115,1606,107,1615,90,1581,121,605,,
2013,115,487,138,1629,143,1565,117,1600,97,1583,327,189,,
2012,273,174,229,1502,196,1486,197,1485,194,1439,285,235,,
2011,105,552,164,1589,160,1537,124,1589,149,1488,128,629,,
2010,122,460,134,1622,141,1562,120,1594,127,1518,741,45,,
2009,108,508,107,1681,116,1602,107,1636,98,1547,268,232,,
2008,369,92,,,,,,,,,501,93,,
2007,447,67,,,,,,,,,637,57,,
2006,248,162,211,1513,211,1457,201,1483,170,1448,224,248,,
2005,497,49,325,1350,321,1296,293,1338,,,290,167,,
2004,203,206,254,1470,289,1365,218,1461,176,1449,159,306,,
2003,230,156,,,,,,,,,342,127,,
2002,333,82,,,,,,,,,641,44,,
2001,906,8,,,,,,,,,,,,
