Year,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR,Best
2019,18,5,13,27.8%,14-29,32.6%,177-223,44.3%,1-2,33.3%,18,63.1%,25.6%,7.0%,7.1%,54.0%,68.3%,41.1%,55.8%,38.8%,47.3%,0.88,QF (Burnie)
2018,33,16,17,48.5%,40-40,50.0%,389-382,50.5%,6-6,50.0%,33,75.3%,26.1%,6.7%,4.5%,56.0%,72.1%,47.4%,61.2%,39.3%,50.2%,1.01,W (Burnie)
2017,26,14,12,53.8%,32-28,53.3%,291-290,50.1%,5-4,55.6%,26,69.9%,30.1%,8.1%,4.9%,50.8%,70.8%,47.8%,59.5%,41.4%,50.4%,1.02,W (Kobe)
2016,25,17,8,68.0%,37-19,66.1%,308-243,55.9%,6-6,50.0%,24,78.5%,34.8%,6.8%,4.8%,53.4%,74.5%,48.7%,62.5%,44.0%,53.0%,1.17,W (New Delhi)
2015,23,12,11,52.2%,29-25,53.7%,272-245,52.6%,3-6,33.3%,23,72.2%,34.0%,8.8%,5.6%,51.9%,71.5%,45.9%,59.2%,43.2%,51.0%,1.06,F (Hua Hin)
2014,3,2,1,66.7%,4-3,57.1%,37-33,52.9%,0-0,-,3,79.4%,27.8%,6.5%,4.7%,54.0%,74.1%,49.5%,62.8%,42.1%,51.7%,1.13,QF (Ostrava)
2013,43,29,14,67.4%,64-34,65.3%,528-434,54.9%,12-10,54.5%,43,76.9%,33.3%,6.7%,3.6%,55.5%,71.3%,50.4%,62.0%,42.3%,52.0%,1.12,F (2x)
2012,38,17,21,44.7%,42-48,46.7%,421-434,49.2%,7-4,63.6%,38,69.6%,28.6%,4.5%,4.6%,53.3%,68.3%,48.7%,59.1%,41.1%,49.9%,1.01,SF (Bercuit)
2011,53,33,20,62.3%,74-50,59.7%,639-549,53.8%,9-7,56.3%,53,76.2%,31.6%,4.4%,4.3%,56.1%,68.1%,52.6%,61.3%,42.3%,51.6%,1.09,W (Ostrava)
2010,9,6,3,66.7%,12-8,60.0%,103-86,54.5%,1-2,33.3%,9,67.7%,41.9%,1.0%,3.7%,53.7%,63.4%,49.6%,57.0%,46.5%,51.6%,1.08,W (Tanger)
2009,53,37,16,69.8%,78-42,65.0%,654-543,54.6%,14-12,53.8%,0,,,,,,,,,,,,W (2x)
2008,2,0,2,0.0%,0-4,0.0%,8-24,25.0%,0-0,-,0,,,,,,,,,,,,R32 (2x)
2007,7,4,3,57.1%,10-6,62.5%,83-62,57.2%,0-2,0.0%,0,,,,,,,,,,,,QF (2x)
2006,29,16,13,55.2%,37-32,53.6%,337-315,51.7%,2-5,28.6%,0,,,,,,,,,,,,F (Wrexham)
2005,12,3,9,25.0%,8-19,29.6%,105-138,43.2%,0-1,0.0%,0,,,,,,,,,,,,QF (Reunion Island)
2004,43,22,21,51.2%,52-51,50.5%,478-477,50.1%,4-7,36.4%,0,,,,,,,,,,,,W (Budapest2)
2003,12,9,3,75.0%,17-9,65.4%,129-96,57.3%,2-1,66.7%,0,,,,,,,,,,,,W (Sofia)
Career,429,242,187,56.4%,550-447,55.2%,4959-4574,52.0%,72-75,49.0%,270,73.4%,31.0%,6.1%,4.7%,54.3%,70.2%,48.7%,60.4%,41.8%,50.9%,1.05,
