Split,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR
Hard,10,5,5,50.0%,10-14,41.7%,111-117,48.7%,1-5,16.7%,1,58.3%,0.0%,1.2%,14.5%,49.4%,63.4%,42.9%,53.0%,26.0%,40.4%,0.55
Clay,10,3,7,30.0%,8-16,33.3%,91-126,41.9%,2-0,100.0%,7,54.0%,26.7%,2.7%,7.1%,60.3%,57.7%,47.0%,53.5%,41.3%,47.3%,0.89
Grass,1,0,1,0.0%,0-3,0.0%,9-18,33.3%,0-0,-,1,61.5%,7.1%,2.4%,15.9%,41.5%,70.6%,50.0%,58.5%,28.2%,43.8%,0.68
Grand Slams,3,0,3,0.0%,1-9,10.0%,29-60,32.6%,1-0,100.0%,3,53.5%,11.1%,2.4%,11.2%,51.7%,62.2%,45.7%,54.2%,32.5%,43.5%,0.71
Masters,1,0,1,0.0%,0-2,0.0%,5-12,29.4%,0-0,-,1,55.6%,0.0%,0.0%,3.2%,65.1%,56.1%,45.5%,52.4%,34.0%,44.0%,0.71
Other Tours,5,1,4,20.0%,3-7,30.0%,37-56,39.8%,1-0,100.0%,4,47.8%,30.4%,3.1%,7.0%,62.7%,53.2%,45.9%,50.5%,42.5%,46.5%,0.86
Best of 5,3,0,3,0.0%,1-9,10.0%,29-60,32.6%,1-0,100.0%,3,53.5%,11.1%,2.4%,11.2%,51.7%,62.2%,45.7%,54.2%,32.5%,43.5%,0.71
Best of 3,18,8,10,44.4%,17-24,41.5%,182-201,47.5%,2-5,28.6%,6,56.5%,27.9%,2.6%,7.5%,60.3%,57.8%,47.8%,53.8%,41.9%,47.8%,0.91
vs Righties,19,7,12,36.8%,16-31,34.0%,189-247,43.3%,3-4,42.9%,9,55.4%,21.2%,2.5%,8.9%,57.0%,59.3%,46.9%,54.0%,38.4%,46.2%,0.84
vs Lefties,1,0,1,0.0%,0-2,0.0%,10-13,43.5%,0-1,0.0%,0,,,,,,,,,,,
