Mtgs,Opponent,W,L,Win%,TB,W,L,TB%,First,Last,MS,DR,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,BPSvd%,BPCnv%
46,Rosie Casals [USA],19,27,41.3%,8,7,1,87.5%,1966,1979,0,,,,,,,,,,
36,Billie Jean King [USA],7,29,19.4%,2,1,1,50.0%,1966,1977,0,,,,,,,,,,
31,Ann Jones [GBR],4,27,12.9%,1,1,0,100.0%,1965,1971,0,,,,,,,,,,
30,Virginia Wade [GBR],6,24,20.0%,2,1,1,50.0%,1964,1978,0,,,,,,,,,,
24,Margaret Court [AUS],1,23,4.2%,0,0,0,-,1964,1975,0,,,,,,,,,,
19,Kerry Reid [AUS],5,14,26.3%,4,2,2,50.0%,1967,1978,0,,,,,,,,,,
18,Lesley Hunt [AUS],14,4,77.8%,2,1,1,50.0%,1969,1976,0,,,,,,,,,,
17,Nancy Richey [USA],3,14,17.6%,3,2,1,66.7%,1964,1973,0,,,,,,,,,,
16,Valerie Ziegenfuss [USA],13,3,81.3%,6,4,2,66.7%,1967,1977,0,,,,,,,,,,
15,Betty Stove [NED],10,5,66.7%,2,1,1,50.0%,1965,1979,0,,,,,,,,,,
15,Julie Heldman [USA],8,7,53.3%,1,0,1,0.0%,1968,1974,0,,,,,,,,,,
14,Evonne Goolagong [AUS],3,11,21.4%,1,1,0,100.0%,1970,1976,0,,,,,,,,,,
14,Karen Krantzcke [AUS],8,6,57.1%,2,2,0,100.0%,1966,1974,0,,,,,,,,,,
13,Chris Evert [USA],0,13,0.0%,1,0,1,0.0%,1970,1977,0,,,,,,,,,,
12,Judy Tegart [AUS],10,2,83.3%,1,1,0,100.0%,1964,1972,0,,,,,,,,,,
