Date,Tournament,Surface,Rd,,Score
02-Nov-1970,Torquay,Carpet,F,Durr / Paul Hutchins [GBR] d. Sharon Walsh Pete [USA] / Ilie Nastase [ROU],6-1 6-4
05-Oct-1970,Paris Closed,Clay,F,Durr / Jean Claude Barclay [FRA] d. Gail Sherriff / Patrice Beust [FRA],W/O
13-Jul-1970,Gstaad,Clay,F,Durr / Marty Riessen [USA] d. Rosie Casals [USA] / Cliff Drysdale [RSA],7-5 6-2
15-Jun-1970,Eastbourne,Grass,F,Ann Jones [GBR] / Robert Maud [RSA] d. Durr / Pierre Barthes [FRA],8-10 6-3 10-8
08-Jun-1970,Bristol,Grass,F,Judy Tegart / Owen Davidson [AUS] d. Durr / Dennis Ralston [USA],6-2 6-3
25-May-1970,Roland Garros,Clay,F,(1) Billie Jean King [USA] / Bob Hewitt [RSA] d. (2) Durr / Jean Claude Barclay [FRA],3-6 6-4 6-2
28-Aug-1969,US Open,Grass,F,(2) Margaret Court [AUS] / Marty Riessen [USA] d. (5) Durr / Dennis Ralston [USA],7-5 6-2
26-May-1969,Roland Garros,Clay,F,(4) Margaret Court [AUS] / Marty Riessen [USA] d. (3) Durr / Jean Claude Barclay [FRA],6-3 6-2
01-Jan-1969,Perth,Grass,F,Durr / Ken Rosewall [AUS] d. Judy Tegart / Phil Dent [AUS],6-3 6-4
27-May-1968,Roland Garros,Clay,F,(7) Durr / Jean Claude Barclay [FRA] d. (1) Billie Jean King [USA] / Owen Davidson [AUS],6-1 6-4
08-May-1967,Rome,Clay,F,Lesley Turner / Bill Bowrey [AUS] d. Durr / Frew Mcmillan [RSA],6-2 7-5
08-Dec-1966,Adelaide,Grass,F,Judy Tegart / Tony Roche [AUS] d. Durr / Claude De Gronckel [BEL],6-4 7-5
18-Jul-1966,Varmala,Clay,F,Durr / Terry Ryan [RSA] d. Madonna Schacht / Martin Mulligan [AUS],6-4 6-4
24-Aug-1965,Brumana,Clay,F,Durr / Ingo Buding [GER] d. Annette Van Zyl [RSA] / Thomaz Koch [BRA],UNK
07-Jun-1965,Bristol,Grass,F,Durr / Donald Dell [USA] d. Justina Bricka / Marty Riessen [USA],5-7 7-5 6-2
23-Feb-1965,Johannesburg,Hard,F,Margaret Hunt / Frew Mcmillan [RSA] d. Durr / Donald Dell [USA],8-6 9-7
13-Feb-1965,Bloemfontein,Hard,F,Margaret Hunt / Frew Mcmillan [RSA] d. Durr / Donald Dell [USA],6-2 7-5
03-Oct-1964,Aix-En-Provence Nationals,Clay,F,Durr / Jean Claude Barclay [FRA] d. Janine Lieffrig / Daniel Contet [FRA],6-2 6-4
21-Sep-1964,Paris Coupe Poree,Clay,F,Durr / Jean Claude Barclay [FRA] d. Janine Lieffrig / Daniel Contet [FRA],6-3 6-4
13-Aug-1964,St. Moritz Suvretta,Clay,F,Durr / Torben Ulrich [DEN] d. Robin Lesh [AUS] / Clive Brebnor [RSA],6-8 6-3 6-3
