Date,Tournament,Surface,Rd,,Score
27-Oct-1970,Port Talbot,Carpet,F,Ann Jones / Virginia Wade [GBR] d. Durr / Betty Stove [NED],6-4 6-3
20-Oct-1970,Manchester,Hard,F,Ann Jones / Virginia Wade [GBR] d. Durr / Betty Stove [NED],6-4 6-3
13-Oct-1970,Edinburgh,Carpet,F,Durr / Patti Hogan [USA] d. Betty Stove [NED] / Sharon Walsh Pete [USA],10-8 3-6 11-9
05-Oct-1970,Paris Closed,Clay,F,Durr / Gail Sherriff [FRA] d. Odile De Roubin / Evelyne Terras [FRA],6-1 6-1
18-Sep-1970,Charlotte,Clay,F,Margaret Court [AUS] / Virginia Wade [GBR] d. Durr / Nancy Richey [USA],1-Oct
24-Aug-1970,South Orange,Grass,F,Rosie Casals [USA] / Virginia Wade [GBR] d. Durr / Gail Sherriff [FRA],6-3 6-4
18-Aug-1970,Haverford,Grass,F,(3) Durr / Gail Sherriff [FRA] d. (4) Mary Ann Eisel / Valerie Ziegenfuss [USA],6-3 6-2
13-Jul-1970,Gstaad,Clay,F,Durr / Rosie Casals [USA] d. Helga Masthoff [FRG] / Betty Stove [NED],6-2 6-2
22-Jun-1970,Wimbledon,Grass,F,(2) Rosie Casals / Billie Jean King [USA] d. (4) Durr / Virginia Wade [GBR],6-2 6-3
15-Jun-1970,Eastbourne,Grass,F,Judy Tegart [AUS] / Ann Jones [GBR] d. Durr / Virginia Wade [GBR],4-6 6-3 6-4
25-May-1970,Roland Garros,Clay,F,(3) Durr / Gail Sherriff [FRA] d. (1) Rosie Casals / Billie Jean King [USA],6-1 3-6 6-3
21-Apr-1970,Rome,Clay,F,Rosie Casals / Billie Jean King [USA] d. Durr / Virginia Wade [GBR],6-2 3-6 9-7
14-Apr-1970,Monte Carlo,Clay,F,Durr / Gail Sherriff [FRA] d. Winnie Shaw / Virginia Wade [GBR],6-2 6-3
28-Aug-1969,US Open,Grass,F,(2) Durr / Darlene Hard [USA] d. (3) Margaret Court [AUS] / Virginia Wade [GBR],0-6 6-3 6-4
26-May-1969,Roland Garros,Clay,F,(3) Durr / Ann Jones [GBR] d. (1) Margaret Court [AUS] / Nancy Richey [USA],6-0 4-6 7-5
24-Jun-1968,Wimbledon,Grass,F,(1) Rosie Casals / Billie Jean King [USA] d. (3) Durr / Ann Jones [GBR],3-6 6-4 7-5
27-May-1968,Roland Garros,Clay,F,(2) Durr / Ann Jones [GBR] d. (1) Rosie Casals / Billie Jean King [USA],7-5 4-6 6-4
22-May-1967,Roland Garros,Clay,F,Durr / Carol Sherriff [AUS] d. Annette Van Zyl / Patricia Walkden [RSA],6-2 6-2
22-Jun-1965,Wimbledon,Grass,F,Maria Bueno [BRA] / Billie Jean King [USA] d. Durr / Janine Lieffrig [FRA],6-2 7-5
17-May-1965,Roland Garros,Clay,F,Margaret Court / Lesley Turner [AUS] d. Durr / Janine Lieffrig [FRA],6-3 6-1
