Year,WTA Rank,Points,Elo Rank,Elo,hElo Rank,hElo,cElo Rank,cElo,gElo Rank,gElo,Doubles: WTA Rank,Points,D-Lo Rank,D-Lo
1979,,,45,1694,36,1609,25,1689,32,1654,,,,
1978,,,20,1816,20,1687,12,1764,16,1727,,,,
1977,,,23,1805,22,1676,24,1752,23,1712,,,,
1976,,,14,1868,9,1751,12,1798,16,1745,,,,
1975,,,14,1883,12,1751,12,1803,21,1748,,,,
1974,,,10,1952,10,1811,10,1883,11,1818,,,,
1973,,,11,1965,10,1809,11,1909,11,1847,,,,
1972,,,11,1912,9,1783,7,1929,10,1867,,,,
1971,,,8,2063,8,1837,6,2017,6,1951,,,,
1970,,,10,1976,8,1797,12,1917,9,1892,,,,
1969,,,13,1898,12,1752,11,1891,14,1824,,,,
1968,,,9,1950,8,1790,8,1908,7,1875,,,,
1967,,,6,2016,6,1819,6,1965,9,1906,,,,
1966,,,12,1906,11,1717,9,1867,11,1805,,,,
1965,,,7,1987,10,1766,6,1928,9,1841,,,,
1964,,,13,1873,17,1639,8,1839,18,1726,,,,
1963,,,24,1752,,,24,1705,28,1639,,,,
1962,,,38,1679,,,30,1647,47,1504,,,,
1961,,,54,1544,31,1424,42,1516,,,,,,
