Event,Yrs,Surface,M,W,L,Win%,TB,W,L,TB%,First,Last,Best,MS,DR,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,BPSvd%,BPCnv%
Australian Open,1,Hard,1,0,1,0.0%,0,0,0,-,2012,2012,Q1,1,0.63,0.0%,2.1%,68.8%,42.4%,46.7%,43.8%,35.7%,28.6%,33.3%
Roland Garros,1,Clay,1,0,1,0.0%,1,0,1,0.0%,2012,2012,Q1,1,0.71,0.0%,8.7%,59.4%,65.9%,46.4%,58.0%,30.0%,50.0%,33.3%
Wimbledon,1,Grass,1,0,1,0.0%,0,0,0,-,2012,2012,Q1,0,,,,,,,,,,
US Open,3,Hard,6,3,3,50.0%,0,0,0,-,2010,2012,Q3,5,0.91,0.3%,8.4%,64.4%,55.6%,38.6%,49.6%,45.7%,47.3%,47.7%
Fed Cup,8,,19,7,12,36.8%,2,2,0,100.0%,2007,2016,,0,,,,,,,,,,
Nuremberg,2,Clay,4,2,2,50.0%,1,1,0,100.0%,2013,2014,Q3,4,1.03,0.0%,5.4%,68.7%,56.6%,44.1%,52.7%,48.7%,47.5%,45.8%
Bad Gastein,4,Clay,15,10,5,66.7%,0,0,0,-,2010,2013,QF,14,1.07,0.5%,5.2%,72.0%,54.6%,42.5%,51.2%,52.3%,53.2%,51.2%
Brussels,2,Clay,3,1,2,33.3%,0,0,0,-,2012,2013,Q2,3,0.90,1.1%,3.2%,72.1%,46.7%,52.8%,48.4%,46.6%,52.9%,57.1%
Moscow,2,Hard,2,0,2,0.0%,0,0,0,-,2010,2012,Q1,2,0.63,1.4%,4.1%,71.6%,50.9%,28.6%,44.6%,34.8%,33.3%,50.0%
Budapest,4,Clay,7,3,4,42.9%,0,0,0,-,2008,2012,Q3,1,0.66,0.0%,3.5%,66.7%,47.4%,21.1%,38.6%,40.4%,22.2%,50.0%
Strasbourg,2,Clay,6,4,2,66.7%,2,1,1,50.0%,2010,2011,R16,5,1.01,0.7%,2.7%,70.1%,59.0%,37.4%,52.6%,47.9%,58.3%,59.1%
