Match,Result,Winners,UFEs,Ratio,Wnr/Pt,UFE/Pt,RallyWinners,RallyUFEs,RallyRatio,Rally Wnr/Pt,Rally UFE/Pt,FH Wnr/Pt,BH Wnr/Pt,vs Ratio,vs Wnr/Pt,vs UFE/Pt
2026 Montpellier R16,L vs Griekspoor,14,18,0.8,13.0%,16.7%,11,16,0.7,13.3%,19.3%,12.0%,1.2%,2.3,32.4%,13.9%
2025 Davis Cup RR,L vs Berrettini,9,25,0.4,8.8%,24.5%,6,24,0.3,7.1%,28.2%,4.7%,2.4%,1.1,20.6%,18.6%
2025 United Cup RR,L vs Tsitsipas,32,24,1.3,18.2%,13.6%,30,21,1.4,19.7%,13.8%,7.9%,1.3%,1.2,30.1%,25.6%
2024 Beijing R32,L vs Rublev,40,20,2.0,26.1%,13.1%,37,18,2.1,27.4%,13.3%,10.4%,4.4%,2.3,34.6%,15.0%
2024 US Open R128,L vs Cazaux,12,44,0.3,8.2%,29.9%,11,39,0.3,8.5%,30.2%,6.2%,2.3%,1.1,21.8%,19.7%
2022 Davis Cup RR,L vs Cilic,25,29,0.9,10.8%,12.6%,18,26,0.7,9.7%,14.0%,7.0%,2.7%,0.9,23.4%,24.7%
2022 Paris Masters R16,L vs Paul,30,23,1.3,24.8%,19.0%,27,23,1.2,23.7%,20.2%,10.5%,3.5%,2.1,26.4%,12.4%
2022 Gijon QF,L vs Rinderknech,24,19,1.3,11.1%,8.8%,21,18,1.2,10.6%,9.1%,6.6%,3.5%,1.3,23.5%,18.0%
2022 US Open R16,L vs Khachanov,53,43,1.2,20.3%,16.5%,44,37,1.2,19.2%,16.2%,12.7%,3.5%,1.3,16.5%,12.3%
2022 US Open R32,W vs De Minaur,36,43,0.8,15.0%,17.9%,28,42,0.7,13.2%,19.8%,7.5%,3.8%,0.7,15.4%,21.3%
2022 US Open R64,W vs Bublik,33,45,0.7,12.0%,16.3%,28,42,0.7,12.3%,18.5%,10.6%,0.9%,0.8,22.8%,27.9%
2022 US Open R128,W vs Thiem,31,32,1.0,12.4%,12.7%,23,31,0.7,10.2%,13.8%,6.2%,3.1%,0.8,17.5%,21.5%
2022 Canada Masters F,W vs Hurkacz,25,9,2.8,17.4%,6.3%,21,9,2.3,17.8%,7.6%,11.0%,5.1%,1.3,21.5%,16.7%
2022 Canada Masters SF,W vs Evans,46,30,1.5,21.9%,14.3%,40,29,1.4,20.9%,15.2%,12.6%,5.8%,1.5,16.2%,10.5%
2022 Canada Masters R16,W vs Sinner,20,19,1.1,19.4%,18.4%,19,18,1.1,20.2%,19.1%,4.3%,5.3%,0.6,21.4%,33.0%
2022 Canada Masters R64,W vs Berrettini,25,11,2.3,23.1%,10.2%,21,11,1.9,21.4%,11.2%,10.2%,5.1%,0.8,25.9%,34.3%
2022 Wimbledon R128,L vs Lajovic,17,21,0.8,15.3%,18.9%,14,20,0.7,13.7%,19.6%,10.8%,2.9%,1.1,14.4%,13.5%
2022 Halle QF,L vs Kyrgios,25,16,1.6,24.5%,15.7%,25,13,1.9,29.1%,15.1%,11.6%,10.5%,3.3,42.2%,12.7%
2022 Roland Garros R128,L vs Simon,51,66,0.8,17.7%,22.9%,47,61,0.8,17.3%,22.5%,13.7%,3.3%,0.9,14.9%,16.7%
2022 Barcelona F,L vs Alcaraz,5,22,0.2,5.4%,23.7%,5,21,0.2,5.6%,23.6%,3.4%,2.2%,1.3,18.3%,14.0%
Career (130 matches),,3711,3525,1.1,15.2%,14.5%,3285,3328,1.0,15.1%,15.3%,7.6%,3.1%,1.1,18.9%,17.6%
