Year,ATP Rank,Points,Elo Rank,Elo,hElo Rank,hElo,cElo Rank,cElo,gElo Rank,gElo,Doubles: ATP Rank,Points,D-Lo Rank,D-Lo
Current (2026-03-30),88,659,67,1767,60,1727,41,1738,,,,,,
2025,93,668,82,1736,68,1717,69,1703,,,,,,
2024,196,292,47,1802,39,1769,25,1788,72,1619,,,,
2023,606,56,,,,,,,,,,,,
2022,13,2495,22,1910,21,1862,13,1866,40,1695,,,,
2021,20,2230,13,1936,16,1874,10,1902,46,1688,,,,
2020,16,2535,14,1928,14,1876,15,1845,,,51,1815,,
2019,27,1422,21,1896,17,1859,22,1806,87,1619,114,765,45,1732
2018,23,1705,34,1828,35,1777,31,1792,109,1548,78,1095,36,1755
2017,10,2615,54,1798,60,1714,27,1839,,,44,1625,42,1735
2016,30,1370,25,1916,25,1864,26,1853,78,1606,25,3135,16,1836
2015,67,734,91,1713,99,1643,78,1692,145,1515,103,756,99,1568
2014,51,841,80,1732,111,1614,61,1712,109,1559,138,542,109,1511
2013,64,739,79,1737,105,1616,49,1748,,,938,30,,
2012,654,33,,,,,,,,,717,52,,
2011,136,392,211,1520,212,1462,187,1505,,,578,80,,
2010,344,127,,,,,,,,,545,82,,
2009,513,56,,,,,,,,,886,28,,
