Match,Result,BLR,DR+,EI,CBF,Deuce A%,Deuce SPW%,Ad A%,Ad SPW%,Deuce RPW%,Ad RPW%
2026 Montpellier R16,L vs Griekspoor,0.66,0.23,27.2,2.0,3.1%,59.4%,6.7%,66.7%,8.0%,19.0%
2025 Davis Cup RR,L vs Berrettini,0.74,0.48,45.0,2.1,4.0%,60.0%,8.3%,70.8%,25.9%,19.2%
2025 United Cup RR,L vs Tsitsipas,1.03,0.80,69.8,3.8,4.2%,66.7%,0.0%,56.8%,34.8%,23.7%
2024 Beijing R32,L vs Rublev,0.96,0.76,63.0,2.6,2.5%,60.0%,5.3%,55.3%,30.0%,37.1%
2024 US Open R128,L vs Cazaux,0.97,0.59,29.4,2.3,2.6%,42.1%,0.0%,51.4%,27.5%,38.2%
2022 Davis Cup RR,L vs Cilic,0.91,0.90,94.1,6.3,3.6%,63.6%,9.8%,56.9%,40.6%,37.7%
2022 Paris R16,L vs Paul,0.92,0.58,39.1,2.0,6.1%,60.6%,3.2%,54.8%,16.7%,37.0%
2022 Gijon QF,L vs Rinderknech,0.84,1.06,123.5,8.6,4.0%,74.0%,2.3%,69.8%,36.5%,34.4%
2022 US Open R16,L vs Khachanov,0.93,0.68,37.6,3.7,4.2%,58.3%,9.0%,68.7%,27.7%,26.3%
2022 US Open R32,W vs De Minaur,1.01,1.46,40.0,2.0,8.9%,73.2%,6.0%,70.0%,30.4%,52.3%
2022 US Open R64,W vs Bublik,1.02,1.20,52.0,3.8,5.6%,62.5%,1.5%,74.6%,34.7%,40.0%
2022 US Open R128,W vs Thiem,0.99,1.31,33.0,2.9,1.7%,65.0%,12.5%,67.9%,42.9%,46.2%
2022 Canada F,W vs Hurkacz,1.21,1.54,43.3,4.4,8.1%,70.3%,3.2%,74.2%,35.9%,35.1%
2022 Canada SF,W vs Evans,0.99,1.24,68.3,2.2,7.5%,77.4%,4.3%,57.4%,40.4%,39.6%
2022 Canada R16,W vs Sinner,1.29,2.05,39.4,2.2,0.0%,69.2%,4.3%,82.6%,50.0%,26.9%
2022 Canada R64,W vs Berrettini,1.01,2.12,40.0,2.1,8.0%,80.0%,9.1%,72.7%,45.2%,53.3%
2022 Halle QF,L vs Kyrgios,0.92,0.34,33.7,2.1,0.0%,48.3%,0.0%,67.9%,17.4%,13.6%
2022 Roland Garros R128,L vs Simon,0.92,0.92,50.1,10.4,4.0%,58.7%,1.4%,52.9%,44.2%,43.9%
2022 Barcelona F,L vs Alcaraz,0.95,0.33,35.4,2.1,0.0%,53.6%,0.0%,55.6%,10.0%,22.2%
2022 Miami R32,L vs Sinner,0.82,0.83,78.7,28.3,3.9%,64.7%,2.3%,55.8%,38.9%,41.2%
2026 (1 matches),,0.66,0.23,27.2,2.0,3.1%,59.4%,6.7%,66.7%,8.0%,19.0%
2025 (2 matches),,0.92,0.67,60.7,2.7,4.1%,64.4%,2.9%,61.8%,31.5%,21.9%
2024 (2 matches),,0.97,0.67,46.5,2.4,2.6%,51.3%,2.7%,53.4%,28.7%,37.7%
2022 (18 matches),,0.97,1.00,56.3,3.0,4.9%,65.5%,4.2%,63.5%,35.5%,38.1%
2021 (17 matches),,1.06,1.08,44.9,2.5,4.9%,65.8%,4.7%,66.7%,34.8%,34.2%
Career (344 matches),,1.02,1.04,50.8,2.7,4.8%,63.3%,3.9%,61.8%,37.5%,38.5%
