Match,Result,RallyLen,RLen-Serve,RLen-Return,1-3 W%,4-6 W%,7-9 W%,10+ W%,FH/GS,BH Slice%,FHP,FHP/100,BHP,BHP/100
2026 Montpellier R16,L vs Griekspoor,2.5,2.9,2.1,43.0%,23.1%,71.4%,0.0%,65.9%,16.7%,3.5,6.5,-4.5,-21.4
2025 Davis Cup Finals RR,L vs Berrettini,3.5,4.2,2.9,38.5%,59.1%,50.0%,20.0%,57.0%,12.5%,3.0,3.7,-8.0,-14.3
2024 United Cup RR,L vs Tsitsipas,3.2,3.5,2.8,46.8%,49.0%,30.0%,50.0%,56.0%,19.3%,1.0,1.0,-8.0,-11.3
2024 Beijing R32,L vs Rublev,3.5,3.4,3.7,50.0%,33.3%,31.3%,60.0%,50.2%,13.7%,9.0,11.0,5.0,5.7
2022 Davis Cup Finals QF,L vs Cilic,4.0,4.9,3.2,50.4%,43.4%,52.6%,50.0%,46.9%,13.5%,5.5,3.6,8.0,4.7
2022 Paris R16,L vs Paul,3.8,3.5,4.1,36.8%,51.4%,50.0%,50.0%,48.3%,15.6%,2.5,3.4,-4.0,-5.3
2022 Gijon QF,L vs Rinderknech,4.4,4.5,4.3,49.1%,55.4%,54.2%,47.6%,53.7%,17.1%,17.5,9.5,9.5,6.5
2022 US Open R128,W vs Thiem,3.6,3.9,3.4,59.0%,51.7%,55.0%,23.5%,50.8%,13.8%,15.0,8.7,-1.0,-0.6
2022 Canada F,W vs Hurkacz,4.0,5.4,2.6,48.3%,57.6%,77.8%,53.8%,42.1%,15.3%,8.0,10.8,6.5,6.2
2022 Canada SF,W vs Evans,5.0,5.0,4.9,51.3%,66.7%,55.6%,40.6%,53.6%,10.1%,22.5,10.4,4.0,2.3
2022 Canada R16,W vs Sinner,5.4,5.3,5.4,55.8%,45.0%,71.4%,58.8%,58.5%,13.7%,-3.5,-2.7,6.5,7.6
2022 Canada R64,W vs Berrettini,3.7,4.1,3.5,58.0%,77.3%,60.0%,42.9%,53.4%,11.8%,12.0,14.6,6.0,9.0
2022 Halle QF,L vs Kyrgios,4.1,4.9,3.1,32.8%,38.9%,77.8%,45.5%,50.0%,22.8%,9.5,14.8,1.5,2.5
2022 Roland Garros R128,L vs Simon,6.3,6.0,6.6,51.3%,47.0%,55.0%,47.6%,60.3%,8.8%,16.5,3.7,-14.0,-4.8
2022 Barcelona F,L vs Alcaraz,4.2,4.5,3.6,34.7%,42.9%,33.3%,57.1%,52.6%,6.8%,-4.0,-5.1,-6.5,-9.4
2022 Miami R32,L vs Sinner,5.1,4.9,5.3,44.0%,47.3%,63.6%,48.6%,54.0%,10.7%,12.0,4.4,2.0,0.9
2022 Australian Open R16,L vs Berrettini,3.5,4.2,2.6,43.0%,41.0%,56.5%,50.0%,60.1%,11.0%,16.5,11.0,-5.5,-5.7
2022 Australian Open R64,W vs Griekspoor,3.7,3.6,3.8,50.7%,51.9%,54.5%,45.8%,49.7%,9.3%,16.5,7.0,15.5,6.8
2022 ATP Cup F,L vs Shapovalov,4.2,4.7,3.9,45.9%,28.6%,41.7%,71.4%,48.7%,4.3%,4.5,4.5,-2.5,-2.3
2021 Metz F,L vs Hurkacz,3.7,4.7,2.7,40.0%,33.3%,75.0%,70.0%,58.4%,16.7%,9.5,11.0,-4.0,-6.7
Career (72 matches),,4.4,4.7,4.0,48.6%,47.7%,52.5%,50.2%,51.2%,10.4%,9.0,6.5,1.5,1.1
