Year,WTA Rank,Points,Elo Rank,Elo,hElo Rank,hElo,cElo Rank,cElo,gElo Rank,gElo,Doubles: WTA Rank,Points,D-Lo Rank,D-Lo
2016,999,9,,,,,,,,,,,,
2013,,,,,,,,,,,369,156,,
2012,,,,,,,,,,,87,948,,
2011,401,100,197,1454,193,1413,193,1409,173,1411,116,691,,
2010,190,315,181,1512,186,1463,172,1466,,,141,523,,
2009,184,306,200,1475,200,1408,166,1481,171,1419,,,,
2008,327,72,,,,,,,,,,,,
2007,456,39,,,,,,,,,,,,
2006,601,20,,,,,,,,,,,,
2005,138,250,160,1571,148,1536,172,1472,149,1438,,,,
2004,89,404,105,1697,98,1648,131,1558,114,1520,,,,
2003,116,304,116,1643,120,1570,120,1555,114,1525,,,,
2002,120,275,179,1522,165,1492,201,1377,,,,,,
2001,509,23,,,,,,,,,,,,
2000,253,78,,,,,,,,,,,,
1999,332,49,,,,,,,,,,,,
1998,192,113,169,1447,165,1414,161,1381,149,1415,,,,
1997,135,168,167,1487,153,1464,156,1407,130,1468,,,,
1996,107,224,133,1596,130,1526,117,1548,,,,,,
1995,47,31,33,1869,65,1690,49,1714,39,1692,,,,
1994,306,2,,,,,,,,,,,,
