Match,Result,SnV Freq,SnV W%,Net Freq,Net W%,FH: Wnr%,DTL Wnr%,IO Wnr%,BH: Wnr%,DTL Wnr%,Drop: Freq,Wnr%,RallyAgg,ReturnAgg
2023 Wimbledon R64,L vs Alexandrova,0.0%,-,3.4%,66.7%,7.0%,15.0%,0.0%,9.6%,25.9%,1.4%,14.3%,-86,-68
2023 Wimbledon R128,W vs Errani,0.0%,-,12.1%,61.5%,12.9%,18.2%,0.0%,13.3%,26.7%,0.9%,0.0%,-59,-71
2023 Roland Garros R128,L vs Sherif,0.0%,-,9.3%,55.6%,7.1%,5.3%,0.0%,10.9%,30.0%,2.0%,25.0%,5,-5
2023 Indian Wells R64,L vs Trevisan,0.0%,-,9.9%,61.1%,6.2%,4.0%,13.3%,6.7%,26.1%,1.7%,25.0%,-101,-97
2023 Linz R16,L vs Vekic,0.0%,-,9.8%,83.3%,14.8%,11.1%,0.0%,22.7%,42.9%,1.1%,50.0%,-30,-48
2023 Linz R32,W vs Grabher,0.0%,-,4.9%,71.4%,8.2%,10.3%,0.0%,10.8%,17.6%,0.0%,-,-100,-124
2022 US Open R128,L vs Jabeur,0.0%,-,4.4%,100.0%,6.1%,15.8%,0.0%,12.9%,28.6%,0.5%,100.0%,-16,-29
2022 Roland Garros R64,L vs Sabalenka,0.0%,-,7.1%,75.0%,14.7%,37.5%,0.0%,10.5%,25.0%,1.5%,100.0%,-23,-27
2022 Miami R32,L vs Swiatek,0.0%,-,4.5%,50.0%,3.5%,9.5%,0.0%,3.9%,15.0%,1.3%,0.0%,-143,-149
2022 Australian Open R128,W vs Yastremska,0.0%,-,1.6%,50.0%,1.9%,0.0%,0.0%,3.7%,14.3%,0.4%,0.0%,-209,-177
2021 Phillip Island Trophy R32,L vs Andreescu,0.0%,-,3.9%,66.7%,1.8%,0.0%,0.0%,12.8%,23.1%,0.4%,50.0%,-141,-131
2020 Lexington R32,L vs Sabalenka,0.0%,-,3.8%,37.5%,10.8%,18.8%,0.0%,13.6%,37.5%,0.4%,0.0%,-157,-96
2020 ITF Midland R32,L vs Lee,1.4%,100.0%,6.7%,80.0%,4.9%,5.3%,9.1%,9.9%,9.5%,0.3%,0.0%,-131,-124
2019 Wimbledon R128,W vs Vondrousova,0.0%,-,5.9%,62.5%,5.8%,7.1%,33.3%,11.7%,22.7%,1.2%,66.7%,-50,-46
2018 Miami R128,L vs Sabalenka,0.0%,-,1.8%,50.0%,4.2%,0.0%,0.0%,18.9%,75.0%,0.0%,-,-152,-122
2016 Charleston R64,L vs Kucova,0.0%,-,9.4%,63.6%,8.4%,12.0%,0.0%,7.6%,30.0%,0.3%,0.0%,-157,-160
2016 Indian Wells R128,W vs Doi,0.0%,-,2.2%,66.7%,0.8%,5.6%,0.0%,6.8%,0.0%,0.0%,-,-162,-116
2015 Beijing R64,L vs Bencic,0.0%,-,8.2%,72.2%,9.5%,12.5%,0.0%,12.3%,61.1%,0.2%,100.0%,-73,-54
2015 Tokyo R16,W vs Hibino,0.0%,-,7.8%,62.5%,2.7%,6.3%,0.0%,8.1%,25.0%,0.0%,-,-168,-143
2015 US Open R32,L vs Kontaveit,0.0%,-,1.9%,100.0%,4.6%,25.0%,0.0%,6.7%,28.6%,0.4%,0.0%,-135,-101
Career (26 matches),,0.1%,50.0%,6.1%,62.6%,6.2%,8.3%,11.7%,9.5%,24.3%,0.7%,24.5%,-106,-94
