Event,Yrs,Surface,M,W,L,Win%,TB,W,L,TB%,First,Last,Best,MS,DR,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,BPSvd%,BPCnv%
Australian Open,18,Hard,29,12,17,41.4%,4,2,2,50.0%,2007,2026,R16,24,0.95,1.3%,3.8%,68.4%,57.3%,45.6%,53.6%,44.0%,49.7%,45.4%
Roland Garros,17,Clay,23,6,17,26.1%,1,0,1,0.0%,2007,2023,R64,16,0.83,0.9%,3.2%,71.1%,48.9%,40.8%,46.5%,44.1%,38.0%,34.6%
Wimbledon,13,Grass,23,10,13,43.5%,7,4,3,57.1%,2009,2023,R32,15,0.96,0.5%,4.3%,73.1%,57.8%,40.2%,53.1%,45.1%,46.8%,46.4%
US Open,20,Hard,32,11,21,34.4%,5,3,2,60.0%,2005,2025,R32,22,0.93,0.6%,3.6%,70.5%,52.7%,41.8%,49.5%,46.7%,46.4%,45.0%
Miami,9,Hard,19,10,9,52.6%,4,3,1,75.0%,2015,2026,R32,19,1.00,0.5%,4.8%,71.8%,56.3%,42.9%,52.5%,47.7%,42.7%,53.8%
Indian Wells,12,Hard,20,8,12,40.0%,5,1,4,20.0%,2008,2026,R64,20,0.95,0.7%,5.0%,70.2%,55.3%,44.2%,52.0%,45.4%,49.1%,55.6%
Austin,2,Hard,4,2,2,50.0%,1,1,0,100.0%,2023,2026,R16,4,1.01,0.6%,2.5%,75.6%,58.2%,44.2%,54.7%,45.8%,54.1%,72.0%
Midland 125,2,Hard,4,2,2,50.0%,0,0,0,-,2022,2026,R16,4,1.03,0.0%,0.9%,87.5%,53.6%,46.4%,52.7%,48.8%,40.0%,56.0%
San Diego,4,Hard,7,3,4,42.9%,1,0,1,0.0%,2010,2023,Q3,7,1.03,0.4%,4.3%,69.8%,54.9%,48.1%,52.8%,48.6%,54.5%,41.4%
Chicago 125,2,Hard,3,1,2,33.3%,3,1,2,33.3%,2021,2023,R16,3,1.06,0.0%,6.9%,75.3%,59.8%,33.3%,53.2%,49.6%,58.8%,56.7%
