Mtgs,Opponent,W,L,Win%,TB,W,L,TB%,First,Last,MS,DR,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,BPSvd%,BPCnv%
8,Salvatore Caruso [ITA],4,4,50.0%,5,4,1,80.0%,2013,2023,6,0.90,11.3%,3.2%,62.3%,68.9%,48.7%,61.3%,34.7%,62.5%,52.0%
6,Riccardo Bonadio [ITA],3,3,50.0%,1,1,0,100.0%,2014,2024,5,0.95,10.3%,3.4%,54.5%,74.7%,50.3%,63.6%,34.7%,64.5%,34.8%
6,Roberto Marcora [ITA],3,3,50.0%,1,0,1,0.0%,2014,2021,5,1.08,7.0%,3.0%,56.1%,75.5%,50.7%,64.6%,38.2%,59.1%,42.4%
5,Alessandro Giannessi [ITA],3,2,60.0%,2,0,2,0.0%,2016,2024,5,1.03,7.2%,2.6%,60.2%,71.3%,47.1%,61.7%,39.5%,56.0%,48.3%
5,Stefano Napolitano [ITA],2,3,40.0%,4,2,2,50.0%,2014,2023,3,1.03,9.0%,8.6%,54.8%,82.6%,41.0%,63.8%,37.1%,53.3%,25.9%
5,Lorenzo Sonego [ITA],3,2,60.0%,1,1,0,100.0%,2014,2021,1,0.75,1.9%,0.0%,63.0%,64.7%,60.0%,63.0%,27.8%,25.0%,100.0%
5,Filippo Baldi [ITA],3,2,60.0%,0,0,0,-,2014,2020,4,1.14,7.7%,4.2%,59.8%,73.1%,50.4%,64.0%,40.9%,71.4%,41.2%
5,Filippo Leonardi [ITA],3,2,60.0%,1,0,1,0.0%,2013,2017,0,,,,,,,,,,
5,Riccardo Sinicropi [ITA],2,3,40.0%,1,0,1,0.0%,2013,2016,0,,,,,,,,,,
4,Enzo Couacaud [FRA],1,3,25.0%,1,1,0,100.0%,2018,2024,4,0.70,8.1%,4.7%,61.3%,67.4%,46.2%,59.1%,28.8%,42.9%,50.0%
4,Marco Cecchinato [ITA],2,2,50.0%,2,0,2,0.0%,2020,2024,4,0.89,9.1%,3.5%,61.9%,70.1%,50.0%,62.5%,33.6%,65.2%,44.0%
4,Egor Gerasimov [BLR],2,2,50.0%,1,0,1,0.0%,2017,2022,4,0.97,7.7%,5.1%,60.6%,73.3%,53.0%,65.3%,33.7%,57.9%,33.3%
4,Dennis Novak [AUT],2,2,50.0%,2,0,2,0.0%,2016,2021,4,1.16,10.1%,2.6%,59.6%,77.2%,51.1%,66.7%,38.6%,60.0%,44.0%
4,Daniel Altmaier [GER],2,2,50.0%,2,1,1,50.0%,2016,2021,2,0.76,6.6%,5.0%,55.8%,70.3%,45.0%,59.1%,31.1%,54.5%,33.3%
4,Pablo Andujar [ESP],1,3,25.0%,1,0,1,0.0%,2018,2021,4,0.94,8.0%,4.2%,58.7%,64.5%,42.9%,55.6%,41.8%,61.9%,48.1%
