Event,Yrs,Surface,M,W,L,Win%,TB,W,L,TB%,First,Last,Best,MS,DR,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,BPSvd%,BPCnv%
Australian Open,5,Hard,7,2,5,28.6%,3,1,2,33.3%,2020,2025,R128,7,0.70,10.5%,4.0%,63.6%,71.9%,39.6%,60.1%,27.9%,52.9%,33.3%
Roland Garros,4,Clay,6,2,4,33.3%,4,2,2,50.0%,2019,2022,R64,6,0.90,5.8%,3.2%,61.3%,69.6%,51.9%,62.7%,33.6%,66.1%,45.0%
Wimbledon,2,Grass,4,2,2,50.0%,2,1,1,50.0%,2019,2021,R64,4,0.94,12.4%,2.7%,63.2%,69.3%,56.1%,64.4%,33.3%,71.4%,50.0%
US Open,4,Hard,4,0,4,0.0%,3,1,2,33.3%,2019,2022,R128,4,0.84,11.4%,5.7%,62.2%,73.3%,51.2%,64.9%,29.6%,58.8%,26.9%
Barcelona,2,Clay,3,1,2,33.3%,1,0,1,0.0%,2022,2024,Q2,3,0.99,9.0%,0.5%,53.2%,69.0%,56.8%,63.3%,36.3%,41.7%,61.5%
Monte Carlo Masters,2,Clay,2,0,2,0.0%,0,0,0,-,2021,2022,Q1,2,0.73,6.1%,6.1%,59.5%,66.7%,28.3%,51.1%,35.7%,47.4%,55.6%
Paris Masters,2,Hard,5,3,2,60.0%,0,0,0,-,2020,2021,R64,5,0.92,10.6%,5.4%,56.8%,77.2%,43.7%,62.7%,34.3%,66.7%,48.0%
Cincinnati Masters,2,Hard,2,0,2,0.0%,0,0,0,-,2020,2021,Q1,2,0.87,14.7%,6.9%,57.8%,76.1%,40.8%,61.2%,33.8%,50.0%,40.0%
Hamburg,2,Clay,3,1,2,33.3%,2,1,1,50.0%,2019,2021,R32,3,1.01,9.8%,1.5%,60.2%,74.8%,49.5%,64.8%,35.7%,69.6%,38.9%
Rome Masters,4,Clay,6,2,4,33.3%,1,1,0,100.0%,2015,2021,R32,6,0.87,7.1%,5.0%,59.8%,66.3%,52.9%,60.9%,33.9%,45.5%,39.3%
