Match,Result,SnV Freq,SnV W%,Net Freq,Net W%,FH: Wnr%,DTL Wnr%,IO Wnr%,BH: Wnr%,DTL Wnr%,Drop: Freq,Wnr%,RallyAgg,ReturnAgg
2019 US Open R128,L vs Halep,0.0%,-,10.4%,76.5%,6.4%,13.9%,0.0%,4.8%,10.0%,0.0%,-,-110,-114
2019 US Open Q1,W vs Mcphee,0.0%,-,10.6%,73.3%,8.0%,15.8%,14.3%,10.1%,33.3%,0.0%,-,-54,-60
2018 ITF Berkeley F,L vs Kenin,1.7%,100.0%,11.2%,58.3%,7.0%,18.8%,0.0%,5.7%,0.0%,1.1%,0.0%,27,5
2018 Roland Garros Q2,L vs Kudermetova,0.0%,-,5.4%,44.4%,5.7%,7.4%,18.2%,3.4%,10.0%,0.0%,-,-80,-68
2018 Shenzhen R32,L vs Halep,0.0%,-,3.7%,50.0%,8.0%,19.2%,0.0%,6.0%,20.0%,1.0%,0.0%,-14,5
2017 Hong Kong R32,W vs Grammatikopoulou,0.0%,-,7.5%,75.0%,11.9%,14.3%,25.0%,9.6%,42.9%,0.3%,0.0%,7,26
2017 Stanford R32,W vs Liu,0.0%,-,6.9%,50.0%,9.5%,29.4%,0.0%,11.0%,20.8%,0.4%,50.0%,-50,-55
2017 Miami R128,L vs Witthoeft,0.0%,-,13.8%,64.7%,7.9%,6.1%,0.0%,3.0%,9.1%,0.0%,-,-40,-47
2017 Australian Open R32,L vs Williams,0.0%,-,7.0%,71.4%,19.1%,33.3%,0.0%,3.8%,0.0%,0.0%,-,70,60
2016 ITF Scottsdale R32,W vs Pivovarova,0.0%,-,11.7%,83.3%,5.2%,11.1%,0.0%,11.9%,22.2%,0.0%,-,-12,17
2016 Hong Kong R32,L vs Siniakova,0.0%,-,7.1%,61.5%,6.8%,16.0%,0.0%,4.4%,13.6%,0.0%,-,-40,-37
2016 Stanford R32,W vs Zhao,0.0%,-,10.3%,66.7%,6.7%,14.3%,9.1%,7.2%,25.0%,1.2%,0.0%,-30,-40
2016 Roland Garros R128,L vs Watson,0.0%,-,5.1%,70.0%,5.0%,2.9%,0.0%,7.6%,8.3%,1.1%,20.0%,-111,-93
2016 Indian Wells R32,W vs Shvedova,0.0%,-,7.3%,50.0%,20.0%,33.3%,0.0%,12.5%,25.0%,0.0%,-,-19,-17
2015 Indian Wells R128,L vs Puig,0.0%,-,6.2%,100.0%,6.6%,5.3%,20.0%,2.4%,0.0%,0.0%,-,7,24
2014 ITF Sacramento R32,W vs Stevenson,0.0%,-,3.3%,75.0%,21.6%,21.1%,50.0%,9.6%,33.3%,0.0%,-,63,104
Career (16 matches),,0.1%,100.0%,7.8%,67.4%,8.3%,14.4%,11.9%,6.8%,16.6%,0.4%,11.8%,-40,-33
