Year,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR,Best
2026,2,0,2,0.0%,0-4,0.0%,11-25,30.6%,0-1,0.0%,2,52.9%,11.1%,8.3%,6.5%,56.5%,60.7%,36.2%,50.0%,27.8%,38.9%,0.56,R32 (2x)
2025,59,34,25,57.6%,74-61,54.8%,652-596,52.2%,6-6,50.0%,58,64.7%,39.4%,2.4%,8.1%,59.0%,64.1%,43.2%,55.5%,45.6%,50.6%,1.03,F (W35 Santa Margherita di Pula)
2024,50,29,21,58.0%,63-56,52.9%,565-528,51.7%,5-4,55.6%,0,,,,,,,,,,,,W (W15 Santo Domingo )
2023,47,29,18,61.7%,64-37,63.4%,519-432,54.6%,8-4,66.7%,0,,,,,,,,,,,,W (W15 Ahmedabad)
2022,30,17,13,56.7%,33-32,50.8%,290-278,51.1%,4-1,80.0%,0,,,,,,,,,,,,W (2x)
2021,14,5,9,35.7%,12-20,37.5%,134-159,45.7%,1-0,100.0%,0,,,,,,,,,,,,QF (W15 Cairo)
2020,3,1,2,33.3%,2-5,28.6%,39-44,47.0%,0-2,0.0%,0,,,,,,,,,,,,R16 (W15 Antalya)
2019,6,0,6,0.0%,2-12,14.3%,52-88,37.1%,2-2,50.0%,0,,,,,,,,,,,,R32 (6x)
2018,3,0,3,0.0%,0-6,0.0%,9-37,19.6%,0-0,-,0,,,,,,,,,,,,R32 (3x)
2017,1,0,1,0.0%,0-2,0.0%,6-12,33.3%,0-0,-,0,,,,,,,,,,,,R32 (Stuttgart Vaihingen $25K)
Career,215,115,100,53.5%,250-235,51.5%,2277-2199,50.9%,26-20,56.5%,60,64.4%,38.6%,2.5%,8.0%,59.0%,64.0%,43.0%,55.4%,45.2%,50.3%,1.01,
