Split,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR
Hard,181,112,69,61.9%,228-159,58.9%,1860-1606,53.7%,21-13,61.8%,0,,,,,,,,,,,
Clay,225,145,80,64.4%,297-176,62.8%,2295-1776,56.4%,23-20,53.5%,0,,,,,,,,,,,
Grass,38,25,13,65.8%,54-29,65.1%,418-333,55.7%,3-0,100.0%,0,,,,,,,,,,,
Carpet,73,43,30,58.9%,91-73,55.5%,757-710,51.6%,6-5,54.5%,0,,,,,,,,,,,
Grand Slams,96,56,40,58.3%,123-88,58.3%,1044-878,54.3%,7-5,58.3%,0,,,,,,,,,,,
Finals,12,5,7,41.7%,11-15,42.3%,99-119,45.4%,1-1,50.0%,0,,,,,,,,,,,
Semi-finals,33,12,21,36.4%,27-41,39.7%,272-316,46.3%,4-5,44.4%,0,,,,,,,,,,,
Quarter-finals,67,33,34,49.3%,68-69,49.6%,612-619,49.7%,10-7,58.8%,0,,,,,,,,,,,
vs Righties,311,168,143,54.0%,359-311,53.6%,3070-2874,51.6%,29-27,51.8%,0,,,,,,,,,,,
vs Lefties,21,12,9,57.1%,24-18,57.1%,196-174,53.0%,1-1,50.0%,0,,,,,,,,,,,
vs Top 10,88,15,73,17.0%,40-145,21.6%,623-1009,38.2%,6-7,46.2%,0,,,,,,,,,,,
