Year,WTA Rank,Points,Elo Rank,Elo,hElo Rank,hElo,cElo Rank,cElo,gElo Rank,gElo,Doubles: WTA Rank,Points,D-Lo Rank,D-Lo
1997,,,44,1872,42,1791,31,1851,23,1788,,,,
1996,15,1451,12,2033,13,1958,20,1926,12,1869,,,,
1995,25,55,15,2033,18,1931,16,1955,18,1817,,,,
1994,25,57,16,2020,19,1918,16,1968,22,1792,,,,
1993,21,59,16,2041,18,1931,12,1988,17,1809,,,,
1992,25,40,15,2032,17,1921,13,1961,17,1818,,,,
1991,16,58,16,2033,15,1940,15,1922,16,1820,,,,
1990,17,62,18,1943,16,1905,19,1877,17,1780,,,,
1989,35,30,40,1831,48,1710,29,1799,40,1681,,,,
1988,33,26,44,1826,78,1621,25,1798,53,1641,,,,
1987,33,22,58,1769,140,1518,42,1725,63,1629,,,,
1986,141,4,117,1630,,,102,1591,117,1530,,,,
