Split,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR
Hard,90,28,62,31.1%,86-148,36.8%,1056-1217,46.5%,14-29,32.6%,84,75.0%,15.9%,4.6%,2.7%,67.6%,65.7%,50.3%,60.7%,33.2%,47.3%,0.84
Clay,243,128,115,52.7%,311-281,52.5%,2912-2801,51.0%,46-40,53.5%,233,76.8%,23.9%,2.6%,1.5%,74.8%,65.4%,51.8%,62.0%,38.1%,50.1%,1.00
Grass,12,1,11,8.3%,4-27,12.9%,104-178,36.9%,1-1,50.0%,12,67.3%,8.4%,4.0%,2.0%,66.7%,64.6%,44.5%,57.9%,26.8%,43.5%,0.64
Carpet,9,4,5,44.4%,9-11,45.0%,97-105,48.0%,3-0,100.0%,9,78.2%,17.5%,6.2%,2.4%,66.5%,69.4%,48.9%,62.5%,34.5%,49.0%,0.92
Grand Slams,42,9,33,21.4%,43-102,29.7%,610-785,43.7%,7-17,29.2%,42,73.3%,15.3%,3.8%,2.3%,69.3%,65.2%,49.2%,60.3%,33.2%,47.1%,0.84
Masters,46,14,32,30.4%,36-66,35.3%,468-548,46.1%,8-13,38.1%,46,75.2%,18.0%,2.3%,2.1%,71.1%,64.6%,49.4%,60.2%,34.8%,47.8%,0.87
Other Tours,250,123,127,49.2%,288-289,49.9%,2801-2782,50.2%,46-40,53.5%,250,76.9%,23.1%,3.3%,1.8%,73.4%,65.8%,51.8%,62.0%,37.4%,49.9%,0.99
Best of 5,56,22,34,39.3%,82-111,42.5%,873-954,47.8%,10-17,37.0%,42,73.3%,15.3%,3.8%,2.3%,69.3%,65.2%,49.2%,60.3%,33.2%,47.1%,0.84
Best of 3,298,139,159,46.6%,328-356,48.0%,3296-3347,49.6%,54-53,50.5%,296,76.6%,22.3%,3.2%,1.8%,73.0%,65.6%,51.4%,61.7%,37.0%,49.5%,0.97
Finals,4,0,4,0.0%,2-8,20.0%,34-57,37.4%,0-0,-,4,65.9%,10.6%,1.7%,2.1%,72.6%,58.0%,56.3%,57.5%,31.8%,44.8%,0.75
Semi-finals,10,4,6,40.0%,13-15,46.4%,149-142,51.2%,2-6,25.0%,10,80.9%,23.2%,1.4%,0.7%,75.6%,63.4%,59.1%,62.4%,36.7%,49.8%,0.97
Quarter-finals,34,10,24,29.4%,26-50,34.2%,338-408,45.3%,5-8,38.5%,34,73.9%,16.8%,2.8%,1.6%,73.6%,63.7%,48.8%,59.8%,33.5%,47.3%,0.83
vs Righties,322,147,175,45.7%,377-422,47.2%,3811-3917,49.3%,60-63,48.8%,308,76.1%,21.2%,3.3%,1.9%,72.3%,65.6%,51.1%,61.6%,36.3%,49.1%,0.95
vs Lefties,32,14,18,43.8%,33-45,42.3%,358-384,48.2%,4-7,36.4%,30,74.9%,20.1%,3.4%,1.9%,72.8%,64.6%,49.7%,60.5%,36.5%,48.8%,0.93
vs Top 10,25,2,23,8.0%,10-52,16.1%,217-358,37.7%,2-4,33.3%,24,66.7%,10.2%,2.5%,1.8%,72.3%,60.8%,45.6%,56.6%,29.8%,43.8%,0.69
