Match,Result,SnV Freq,SnV W%,Net Freq,Net W%,FH: Wnr%,DTL Wnr%,IO Wnr%,BH: Wnr%,DTL Wnr%,Drop: Freq,Wnr%,RallyAgg,ReturnAgg
2023 Wimbledon R128,W vs Stefanini,0.0%,-,5.6%,75.0%,15.9%,33.3%,0.0%,20.5%,23.5%,2.9%,28.6%,89,108
2023 Roland Garros R128,L vs Pera,0.0%,-,2.9%,75.0%,9.3%,15.0%,0.0%,11.4%,25.0%,1.1%,0.0%,45,45
2023 Australian Open R64,L vs Linette,0.0%,-,4.2%,71.4%,11.8%,27.8%,0.0%,19.4%,60.0%,1.4%,0.0%,8,21
2023 Australian Open R128,W vs Grabher,0.0%,-,7.5%,87.5%,25.0%,28.6%,0.0%,25.0%,33.3%,1.0%,0.0%,75,128
2022 Ostrava R16,L vs Martincova,0.0%,-,10.2%,90.0%,20.8%,25.0%,0.0%,6.8%,10.5%,2.3%,50.0%,85,49
2022 Tallinn F,L vs Krejcikova,0.0%,-,1.8%,50.0%,5.9%,11.1%,0.0%,15.2%,44.4%,1.2%,0.0%,81,64
2022 US Open R64,L vs Williams,0.0%,-,1.5%,100.0%,20.4%,42.3%,100.0%,14.1%,29.4%,1.2%,33.3%,26,29
2022 Prague QF,L vs Potapova,0.0%,-,2.5%,100.0%,8.9%,14.3%,0.0%,3.0%,0.0%,2.9%,100.0%,112,49
2022 Hamburg F,L vs Pera,0.0%,-,2.9%,66.7%,19.1%,16.7%,18.8%,7.7%,27.3%,0.0%,-,-34,-53
2022 Wimbledon R64,L vs Niemeier,0.0%,-,4.5%,75.0%,6.5%,16.7%,0.0%,14.3%,33.3%,1.0%,100.0%,60,92
2022 Stuttgart QF,L vs Sabalenka,0.0%,-,3.2%,60.0%,9.1%,12.5%,0.0%,15.2%,25.0%,0.6%,0.0%,-67,-29
2022 Doha F,L vs Swiatek,0.0%,-,9.1%,50.0%,6.3%,23.1%,0.0%,5.6%,25.0%,1.7%,33.3%,7,-27
2022 Doha SF,W vs Ostapenko,0.0%,-,1.0%,0.0%,2.5%,0.0%,0.0%,3.4%,0.0%,0.0%,-,-94,-1
2022 Doha QF,W vs Jabeur,0.0%,-,7.4%,88.9%,17.0%,20.0%,0.0%,11.1%,25.0%,0.0%,-,5,19
2022 Doha R16,W vs Mertens,0.0%,-,6.3%,55.6%,8.0%,8.3%,50.0%,7.8%,50.0%,0.4%,0.0%,-39,-9
2022 Doha R32,W vs Konjuh,0.0%,-,2.9%,75.0%,21.5%,42.9%,100.0%,12.7%,33.3%,0.0%,-,139,86
2022 St Petersburg F,W vs Sakkari,0.0%,-,4.1%,80.0%,10.4%,11.4%,0.0%,10.0%,50.0%,0.5%,0.0%,9,-5
2022 St Petersburg SF,W vs Ostapenko,0.0%,-,1.8%,50.0%,9.1%,50.0%,0.0%,9.1%,40.0%,0.0%,-,-89,6
2022 St Petersburg QF,W vs Bencic,0.0%,-,3.3%,60.0%,20.4%,36.4%,0.0%,17.3%,75.0%,0.0%,-,4,62
2022 St Petersburg R16,W vs Cirstea,0.0%,-,4.5%,83.3%,18.1%,50.0%,0.0%,6.8%,6.7%,0.5%,0.0%,28,17
Last 52 Weeks (2 matches),,0.0%,-,4.3%,75.0%,12.9%,25.0%,0.0%,17.2%,23.8%,2.1%,22.2%,69,79
Career (90 matches),,0.0%,-,5.4%,72.4%,14.2%,26.9%,17.4%,13.1%,32.3%,0.7%,42.1%,47,41
